name;slug;ownership;mission;known_for;project;research_areas;products;services;budget;founded;score;city_name;numberOfEmployees;parent_organization_name;metadata;authority;collections;description;facilities;founders;jurisdiction;members;offices;partners;personnel;programs_activities;serial_number;subsidiaries;subtype;type1;type2;student_count;undergraduates;postgraduates;countries;industries;working_area_cities
Pekamix;pekamix;Public;;Robust ERP solutions for manufacturing industries;;;Pekamix ERP Suite, Business Analytics Tools;;;2003;;Tokyo;35;Pekamix Global;;;;;;;;;;;;;COM-000001;5;Company;International Company;;;;;;Sales Software, Marketing Software, ERP Systems;
Altivara Systems;altivara-systems;Public;;Easy-to-use CRM with AI-driven customer analytics;;;Altivara CRM Platform, Customer Insights AI;;;1991;;Osaka;30;Altivara Mobile;;;;;;;;;;;;;COM-000002;6;Company;International Company;;;;;;CRM Software;
Pekamix Global;pekamix-global;Public;;Scalable global cloud infrastructure;;;CloudFlex IaaS, Pekamix Cloud Storage;;;1984;;Kuala Lumpur;8500;;;;;;;;;;;;;;COM-000003;CloudFlex Asia, CloudFlex EU;Company;International Company;;;;;;Cloud Computing & IaaS;
Redmont Networks;redmont-networks;Public;;Advanced cybersecurity for enterprises;;;SecureNet Firewall, Redmont Threat Intelligence;;;2017;;Singapore;2700;Redmont Asia;;;;;;;;;;;;;COM-000004;;Company;International Company;;;;;;Cybersecurity;
Elevatech Cloud Services;elevatech-cloud-services;Public;;Next-gen cloud-based networking and telecom;;;Elevate VPN, CloudConnect Telephony;;;2024;;San Francisco;1100;;;;;;;;;;;;;;COM-000005;Elevatech Networks;Company;Global Company;;;;;;Networking & Telecommunications;
Gridline K.K.;gridline-k-k;Public;;High-performance global data center infrastructure;;;DataVault Servers, Gridline Edge Data Centers;;;1989;;Seattle;550;;;;;;;;;;;;;;COM-000006;Gridline Asia, Gridline Europe;Company;Global Company;;;;;;Data Centers & Server Infrastructure;
AegisPoint Infra;aegispoint-infra;Public;;Cutting-edge AI solutions for automation;;;Aegis AI Platform, Machine Learning Modules;;;1998;;Austin;680;Aegis Robotics;;;;;;;;;;;;;COM-000007;;Company;Global Company;;;;;;Artificial Intelligence & ML Platforms;
RedLock Digital;redlock-digital;Public;;Secure IoT devices for industrial applications;;;IoT Secure Hub, Embedded Sensor Kits;;;2012;;Boston;900;;;;;;;;;;;;;;COM-000008;RedLock Embedded;Company;Global Company;;;;;;IoT & Embedded Systems;
CipherTrax Labs;ciphertrax-labs;Public;;Ultra-secure storage and backup solutions;;;Cipher Backup Pro, Encrypted Cloud Storage;;;2026;;New York City;1200;;;;;;;;;;;;;;COM-000009;CipherTrax EU;Company;International Company;;;;;;Storage & Backup Solutions;
ByteForge Security;byteforge-security;Public;;Leading mobile and desktop security software;;;ByteOS, ByteShield Antivirus;;;2007;;Toronto;12800;ByteForge Mobile, ByteForge Cloud;;;;;;;;;;;;;COM-000010;7;Company;International Company;;;;;;Mobile & Desktop Computing;
Draxenbridge Solutions;draxenbridge-solutions;Public;;Developer-centric software development and automation tools;;;DevSuite, CodeFlow CI/CD Tools;;;1995;;Vancouver;1500;Draxenbridge Labs;;;;;;;;;;;;;COM-000011;8;Company;International Company;;;;;;DevOps & Software Development Tools;
Tyverra Digital;tyverra-digital;Public;;Robust virtualization and container orchestration platforms;;;Tyverra Virtualizer, Container Master;;;2019;;Montreal;1700;Tyverra Europe, Tyverra Asia;;;;;;;;;;;;;COM-000012;9;Company;Global Company;;;;;;Virtualization & Containerization;
Bravionyx Cloudworks;bravionyx-cloudworks;Public;;Integrated payment and e-commerce solutions;;;Bravionyx Pay, E-Commerce Cloud Platform;;;1989;;Calgary;3300;Bravionyx Payments, Bravionyx Logistics;;;;;;;;;;;;;COM-000013;2;Company;Global Company;;;;;;E-commerce & Payment Systems;
Klyrion Systems;klyrion-systems;Public;;Innovative wearable technology with health tracking;;;Klyrion WearOS, SmartWatch X;;;1998;;Washington D.C.;700;Klyrion HealthTech, Klyrion Audio;;;;;;;;;;;;;COM-000014;3;Company;Global Company;;;;;;Wearables & Smart Devices;
LedgerWave;ledgerwave;Private;;;;;Stock Trading, Swaps, Wealth Management;;;2003;;New York, NY, US;450;LedgerWave Holdings;;;;;;;;;;;;;COM-000015;9;Company;Local Company;;;;;;Finance, Investment Services;
Vestrion Flow;vestrion-flow;Private;;;;;Freight Management, SCM Consulting;;;1995;;Rotterdam, Netherlands;2500;Vestrion Group;;;;;;;;;;;;;COM-000016;7;Company;Local Company;;;;;;Supply Chain, Logistics;
Steelvane Staffing;steelvane-staffing;Private;;;;;Talent Acquisition, Executive Search;;;2010;;Chicago, IL, US;350;Steelvane Corp;;;;;;;;;;;;;COM-000017;6;Company;Local Company;;;;;;Human Resources, Recruitment;
Nanotreck Industries;nanotreck-industries;Private;;;;;Precision Components, Machinery;;;1988;;Zurich, Switzerland;4200;NanoGlobal;;;;;;;;;;;;;COM-000018;4;Company;Local Company;;;;;;Manufacturing, Industrial;
Brivona Realty;brivona-realty;Private;;;;;Property Leasing, Facility Management;;;2005;;Toronto, Canada;220;Brivona Group;;;;;;;;;;;;;COM-000019;5;Company;Local Company;;;;;;Real Estate, Property Management;
Chinese Academy of Sciences;chinese-academy-of-sciences;;;"World's largest public research organization; major contributions to space, quantum science, and AI";;Physics, chemistry, biology, AI, Earth science, engineering, space science;"Tens of thousands of publications annually; world-leading citation output";;Government funding, competitive grants, industry;1949;;Beijing;~70,000 researchers;State Council of the People's Republic of China;;;;;;;;;;Universities, industry, international research institutes;;;RES-000001;100+ institutes;Research Institute;National research organization;;;;;;;
Helmholtz Association;helmholtz-association;;;Germany's largest scientific organization;;Energy, health, Earth systems, aerospace, information, matter;High-impact publications, major research infrastructures;;Federal and state governments, EU, industry;1995;;Berlin;~46,000 staff;Independent association funded by German government;;;;;;;;;;Universities, European Organization for Nuclear Research, industry;;;RES-000002;18 research centers;Research Institute;National research organization;;;;;;;
Centre National de la Recherche Scientifique;centre-national-de-la-recherche-scientifique;;;Europe's largest basic research organization;;Natural sciences, engineering, humanities, social sciences;Among the world's highest publication outputs;;French government, EU grants;1939;;Paris;~34,000 staff (~11,000 researchers);French government;;;;;;;;;;Universities, industry, international institutes;;;RES-000003;1,100+ laboratories;Research Institute;National research organization;;;;;;;
Max Planck Society;max-planck-society;;;Fundamental research and Nobel Prize-winning science;;Biology, physics, chemistry, medicine, computer science, humanities;"Exceptionally high citation impact; numerous Nobel-winning discoveries";;German federal and state governments;1948;;Munich;~13,000 scientists;Independent;;;;;;;;;;Universities worldwide;;;RES-000004;84 institutes;Research Institute;Independent research organization;;;;;;;
National Institutes of Health;national-institutes-of-health;;;World's largest public biomedical research organization;;Biomedical and clinical research;Thousands of biomedical publications annually;;U.S. federal government;1887;;Bethesda;~6,000 in-house researchers;United States Department of Health and Human Services;;;;;;;;;;Universities, hospitals, biotech companies;;;RES-000005;27 institutes and centers;Research Institute;Government biomedical research agency;;;;;;;
European Organization for Nuclear Research;european-organization-for-nuclear-research;;;Discovery of the Higgs boson and development of the World Wide Web;;Particle physics, accelerator science, computing;Thousands of papers annually;;Member state contributions;1954;;Geneva;~2,500 staff and 12,000+ visiting scientists;Member states;;;;;;;;;;Universities, national laboratories;;;RES-000006;Major accelerator complexes;Research Institute;International research organization;;;;;;;
Fraunhofer Society;fraunhofer-society;;;Europe's leading applied research network;;Applied engineering, manufacturing, AI, materials, ICT;Thousands of patents and industry publications;;Government funding, industrial contracts;1949;;Munich;~32,000;Independent;;;;;;;;;;Companies, universities;;;RES-000007;76 institutes;Research Institute;Applied research organization;;;;;;;
Commonwealth Scientific and Industrial Research Organisation;commonwealth-scientific-and-industrial-research-organisation;;;Wi-Fi innovations, agriculture, environmental science;;Agriculture, climate, mining, health, energy, digital technologies;Thousands of publications, patents, and commercial technologies;;Australian government, industry, grants;1916;;Canberra;~5,500 staff;Australian Government;;;;;;;;;;Universities, government, industry;;;RES-000008;50+ sites;Research Institute;National research agency;;;;;;;
RIKEN;riken;;;Home of the Fugaku supercomputer and advanced biomedical research;;Physics, chemistry, life sciences, supercomputing, AI;High-impact publications in life sciences and computing;;Japanese government, grants;1917;;Wako;~3,500 researchers;Japanese government;;;;;;;;;;Universities, industry, international institutes;;;RES-000009;7 major campuses and research centers;Research Institute;National research institute;;;;;;;
Argonne National Laboratory;argonne-national-laboratory;;;Advanced Photon Source, exascale computing, clean energy research;;Energy, computing, materials science, nuclear science, AI;Thousands of publications and major user-facility research;;U.S. federal government;1946;;Lemont;~3,400;United States Department of Energy;;;;;;;;;;Universities, industry, national laboratories;;;RES-000010;Multiple scientific divisions and facilities;Research Institute;National laboratory;;;;;;;
BRAC;brac;;Reduce poverty and empower people through sustainable development;"World's largest NGO by workforce; major poverty reduction programs";;;;;Donations, governments, development banks, enterprises;1972;;Dhaka;~100,000+;Independent;;;;;;;;Thousands;10+ countries;UNICEF, World Bank;;Education, health, microfinance, agriculture, livelihoods;NGO-000001;;NGO;International development NGO;;;;;;;
World Vision International;world-vision-international;;Improve children's lives and communities;One of the largest child-focused NGOs;;;;;Child sponsorship, donations, government grants;1950;;Monrovia;~34,000;Global partnership;;;;;;;;Hundreds of thousands;~100 countries;United Nations, governments;;Child sponsorship, disaster relief, WASH, health;NGO-000002;;NGO;Christian humanitarian NGO;;;;;;;
The Salvation Army;the-salvation-army;;Meet human needs without discrimination;Extensive social services and emergency response;;;;;Donations, thrift stores, government contracts;1865;;London;~110,000;International Salvation Army;;;;;;;;Millions of volunteers/supporters;130+ countries;Governments, local charities;;Homelessness, disaster relief, addiction recovery;NGO-000003;;NGO;Faith-based humanitarian NGO;;;;;;;
CARE International;care-international;;Defeat poverty and achieve social justice;Women's empowerment and humanitarian response;;;;;Institutional donors, governments, individuals;1945;;Geneva;~10,000;CARE Confederation;;;;;;;;Thousands;100+ countries;European Union, United Nations;;Food security, women's empowerment, emergency relief;NGO-000004;;NGO;Humanitarian NGO;;;;;;;
Médecins Sans Frontières;medecins-sans-frontieres;;Provide emergency medical care where needed;Independent emergency medical aid in crises;;;;;Mostly private donors;1971;;Geneva;~68,000;International network;;;;;;;;Thousands;70+ countries;Hospitals, ministries of health, UN agencies;;Emergency medicine, epidemics, conflict response;NGO-000005;;NGO;Medical humanitarian NGO;;;;;;;
Oxfam International;oxfam-international;;End poverty and inequality;Campaigns against inequality and humanitarian assistance;;;;;Public donations, governments, foundations;1995 (confederation);;Nairobi;~10,000;Oxfam Confederation;;;;;;;;Tens of thousands;80+ countries;UN agencies, NGOs;;Humanitarian aid, advocacy, economic justice;NGO-000006;;NGO;Humanitarian & advocacy NGO;;;;;;;
Save the Children;save-the-children;;Improve children's lives worldwide;Global leader in child welfare and emergency response;;;;;Donations, governments, foundations;1919;;London;~25,000;Save the Children Association;;;;;;;;Tens of thousands;100+ countries;UNICEF, governments;;Child protection, education, nutrition, emergencies;NGO-000007;;NGO;Children's rights NGO;;;;;;;
International Rescue Committee;international-rescue-committee;;Help people affected by conflict and disaster;Refugee protection and resettlement;;;;;Governments, foundations, private donors;1933;;New York City;~20,000;Independent;;;;;;;;Thousands;40+ countries;United Nations High Commissioner for Refugees;;Refugee assistance, health, education, economic recovery;NGO-000008;;NGO;Humanitarian NGO;;;;;;;
Mercy Corps;mercy-corps;;Build resilient communities and reduce suffering;Innovation in resilience and development programs;;;;;Government grants, donations, foundations;1979;;Portland;~5,500;Independent;;;;;;;;Thousands;40+ countries;USAID, UN agencies, local NGOs;;Food security, climate resilience, economic development;NGO-000009;;NGO;Humanitarian & development NGO;;;;;;;
Habitat for Humanity International;habitat-for-humanity-international;;Build decent and affordable housing;Largest volunteer-driven affordable housing organization;;;;;Donations, corporate sponsors, grants;1976;;Americus;~3,000;Global federation;;;;;;;;Millions since founding;70+ countries;Governments, corporations, local nonprofits;;Home construction, disaster recovery, housing finance;NGO-000010;;NGO;Housing NGO;;;;;;;
Department of Education;department-of-education;;;;;;;;~$250 billion (varies with student loan activity);1979;;Washington, D.C.;;Federal Government of the United States;;;;;;Department of Health, Education, and Welfare;Federal education policy and student aid;;;;;;AGE-000008;;Government;;;;;;;;
Department of Energy (DOE);department-of-energy-doe;;;;;;;;~$50–60 billion;1977;;Washington, D.C.;;Federal Government of the United States;;;;;;Energy Research and Development Administration and Federal Energy Administration;Energy policy, nuclear security, scientific research;;;;;;AGE-000010;;Government;;;;;;;;
