City name;Population;Main industries;Number of multinational HQs;Number of airports;Largest companies;Median salary;Cost of living;Median home price;Average rent;Temperatures;Climate;Interesting fact;Degree Holders;Number of Colleges and Universities;Top universities;Number of nationalities;Languages;People description;Serial Number
New York City;8.8 million (Foreign Born: 3.1 million);Financial services, Health care, Real estate, Technology, Media;53;3;JPMorgan Chase, Verizon Communications, Citigroup, Goldman Sachs, IBM;$78,000;High;$850,000;$3,200/month;−13°C to 36°C;Cold winters, Hot Summers, and heavy snowfall.;New York City is the most linguistically diverse city in the world, with over 800 languages spoken.;40.6%(Bachelor), 10%(Master), 5%(PhD);120;Columbia University, New York University, Cornell University, Yeshiva University, University of Rochester;200+;English, Spanish, Chinese, German;Very accepting, diverse, busy and loud.;CIT-000001
London;9.6 million (Foreign Born: 3.3 million);Finance, Technology, Tourism, Creative industries;46;6;HSBC, BP, Unilever, Barclays, GlaxoSmithKline;$68,000;High;$750,000;$2,900/month;−5°C to 32°C;Mild winters, warm summers, frequent rain;Has the world’s oldest underground railway.;49%(Bachelor), 13%(Master), 4%(PhD);110;University College London, Imperial College, King's College, London School of Economics;180+;English, Polish, Bengali, Arabic;Historic, multicultural, energetic.;CIT-000002
Tokyo;14 million (Foreign Born: 0.5 million);Technology, Manufacturing, Finance, Retail;38;2;Toyota, Sony, SoftBank, Mitsubishi UFJ, Honda;$58,000;High;$640,000;$2,700/month;−2°C to 35°C;Humid summers, mild winters, typhoons;Vending machines everywhere—1 per 23 people.;52%(Bachelor), 8%(Master), 3%(PhD);125;University of Tokyo, Waseda, Keio, Tokyo Institute of Technology;140+;Japanese, English, Chinese, Korean;Efficient, clean, fast-paced.;CIT-000003
Paris;11 million (Foreign Born: 2.5 million);Tourism, Luxury goods, Finance, Tech;35;3;L'Oréal, BNP Paribas, AXA, TotalEnergies, Danone;$57,000;High;$980,000;$2,600/month;−3°C to 35°C;Mild winters, warm summers;Has more libraries than any other city.;39%(Bachelor), 13%(Master), 3%(PhD);70;Sorbonne, Sciences Po, PSL, École Polytechnique;150+;French, English, Arabic, Portuguese;Romantic, artistic, historic.;CIT-000004
Shanghai;24 million (Foreign Born: 2 million);Finance, Manufacturing, Trade, Technology;29;2;SAIC Motor, Bank of China, Alibaba, China Eastern, Fosun;$45,000;Medium;$630,000;$1,500/month;−2°C to 36°C;Humid subtropical, rainy summers;Has the world’s fastest commercial train (Maglev).;38%(Bachelor), 11%(Master), 2%(PhD);64;Fudan University, Tongji, Jiao Tong, East China Normal;100+;Mandarin, Shanghainese, English;Modern, bustling, international.;CIT-000005
Dubai;3.6 million (Foreign Born: 2.8 million);Trade, Real Estate, Tourism, Finance;27;2;Emirates, Emaar, DP World, DAMAC, Dubai Holding;$60,000;High;$550,000;$2,400/month;12°C to 43°C;Hot desert climate, minimal rainfall;90% of population are expats.;24%(Bachelor), 9%(Master), 2%(PhD);60;American University in Dubai, University of Dubai;200+;Arabic, English, Hindi, Urdu;Ultra-modern, luxurious, international.;CIT-000006
Singapore;5.9 million (Foreign Born: 2.2 million);Finance, Logistics, Technology, Biotech, Tourism;37;2;DBS, Singtel, Wilmar, CapitaLand, OCBC;$72,000;High;$1,100,000;$2,700/month;22°C to 34°C;Tropical rainforest, humid, consistent temps;First country to be both a city and a state.;46%(Bachelor), 17%(Master), 7%(PhD);65;NUS, NTU, SMU, SUTD;130+;English, Mandarin, Malay, Tamil;Clean, green, highly efficient.;CIT-000007
Sydney;5.4 million (Foreign Born: 1.6 million);Finance, Tourism, Education, Tech;31;2;Commonwealth Bank, Westpac, Qantas, Atlassian, Woolworths;$62,000;High;$920,000;$2,800/month;7°C to 27°C;Warm summers, mild winters, sunny;Has the largest natural harbor in the world.;48%(Bachelor), 9%(Master), 2%(PhD);35;University of Sydney, UNSW, UTS, Macquarie University;120+;English, Mandarin, Arabic, Cantonese;Laid-back, sunny, multicultural.;CIT-000008
São Paulo;12.3 million (Foreign Born: 2.2 million);Finance, Commerce, Manufacturing, Services;23;2;Itaú Unibanco, Bradesco, Ambev, JBS, Natura;$22,000;Medium;$150,000;$700/month;11°C to 29°C;Subtropical, rainy summers;Largest Japanese community outside Japan.;23%(Bachelor), 6%(Master), 1%(PhD);38;USP, UNIFESP, Mackenzie, FGV;70+;Portuguese, English, Spanish, Italian;Dynamic, vibrant, business-oriented.;CIT-000009
Los Angeles;4 million (Foreign Born: 1.5 million);Entertainment, Technology, Trade, Manufacturing;26;5;Walt Disney, Warner Bros, Snap Inc, AECOM, Riot Games;$65,000;High;$980,000;$3,000/month;8°C to 35°C;"Mild, dry summers; wet winters";Birthplace of the modern entertainment industry.;34%(Bachelor), 11%(Master), 3%(PhD);113;UCLA, USC, Caltech, Loyola Marymount University;140+;English, Spanish, Korean, Tagalog;Creative, sunny, diverse, sprawling.;CIT-000010
