Name;Established;Type;Location;Total Students;Undergraduates;Postgraduates;Notes;Serial Number
Harvard University;1636;Private research university;Cambridge, Massachusetts, United States;21,613;7,240;14,373;"Ivy School, World Famous, Highly Selective. Notable alumni include U.S. presidents and Nobel laureates; strong in law, business, and medicine.";UNI-000001
Stanford University;1885;Private research university;Stanford, California, United States;16,937;7,761;9,176;"Known for innovation, entrepreneurship, and proximity to Silicon Valley. Alumni include tech founders and Nobel laureates.";UNI-000002
University of Oxford;1096;Public research university;Oxford, England, United Kingdom;26,455;12,510;13,945;"Oldest university in the English-speaking world. Collegiate system; strong in humanities, sciences, politics.";UNI-000003
University of Cambridge;1209;Public research university;Cambridge, England, United Kingdom;24,500;12,440;12,060;"Noted for historic colleges, discoveries in science, mathematics, literature. Alumni include many Nobel Prize winners.";UNI-000004
Massachusetts Institute of Technology;1861;Private research university;Cambridge, Massachusetts, United States;11,858;4,657;7,201;"Leader in engineering, technology, and science. Famous for its culture of innovation, robotics, and entrepreneurship.";UNI-000005
University of Tokyo;1877;Public research university;Tokyo, Japan;27,806;14,031;13,775;"Top university in Japan, research intensive, strong in science, law, and engineering. Alumni include many prime ministers.";UNI-000006
ETH Zurich;1855;Public research university;Zurich, Switzerland;22,200;10,700;11,500;"Renowned for engineering, architecture, and natural sciences. High international student population.";UNI-000007
University of Melbourne;1853;Public research university;Melbourne, Victoria, Australia;54,000;27,500;26,500;"One of Australia's leading universities, strong in medicine, law, and the arts. Culturally diverse campus.";UNI-000008
Peking University;1898;Public research university;Beijing, China;44,537;16,133;28,404;"China's oldest national university, prestigious for research in sciences, humanities, and social sciences.";UNI-000009
Sorbonne University;2018 (roots 1257);Public research university;Paris, France;55,600;29,100;26,500;"Result of merger; famous heritage in arts, sciences, medicine. Central to French intellectual life for centuries.";UNI-000010
