name;serial_number;description;icon_url;metadata;score
Agriculture and Forestry;IND-000001;Produces crops, livestock, timber, and other natural resources. Includes farming, forestry management, and agricultural technology. Supports global food supply, raw materials, and environmental sustainability.;;;
Mining;IND-000002;Extracts minerals, metals, coal, and other natural resources from the earth. Uses exploration, drilling, and processing technologies. Supplies essential materials for manufacturing, energy, and construction.;;;
Pulp and Paper Industry;IND-000003;Manufactures paper, cardboard, packaging, and pulp products from wood and recycled fibers. Focuses on sustainable production and recycling. Serves publishing, packaging, and consumer goods markets.;;;
Automotive;IND-000004;Designs, manufactures, and sells cars, trucks, motorcycles, and vehicle components. Covers electric vehicles, autonomous driving, and mobility technologies. Employs engineers, technicians, and manufacturing specialists.;;;
Chemical Industry;IND-000005;Produces industrial chemicals, plastics, fertilizers, coatings, and specialty materials. Supports numerous sectors including agriculture, healthcare, and manufacturing. Emphasizes innovation, safety, and environmental compliance.;;;
Construction;IND-000006;Plans, builds, and maintains residential, commercial, and infrastructure projects. Includes architecture, engineering, project management, and skilled trades. Drives urban development and economic growth.;;;
Durable Consumer Goods;IND-000007;Manufactures long-lasting consumer products such as appliances, furniture, and household equipment. Focuses on product quality, innovation, and customer satisfaction. Products are typically used for several years.;;;
Electronics;IND-000008;Develops and manufactures electronic devices, components, and systems. Includes consumer electronics, industrial equipment, and embedded technologies. Innovation and rapid product development are key drivers.;;;
Energy;IND-000009;Produces and distributes electricity, oil, natural gas, and renewable energy. Invests in power generation, energy storage, and sustainability initiatives. Plays a critical role in economic development.;;;
Fast-Moving Consumer Goods (FMCG);IND-000010;Produces and markets everyday products such as food, beverages, toiletries, and household items. Operates with high sales volumes and rapid inventory turnover. Success depends on branding, distribution, and supply chains.;;;
Food Industry;IND-000011;Processes, manufactures, packages, and distributes food and beverages. Ensures product quality, food safety, and regulatory compliance. Serves consumers, retailers, and food service businesses worldwide.;;;
Heavy Manufacturing;IND-000012;Produces large-scale industrial equipment, machinery, ships, and heavy infrastructure components. Requires advanced engineering and significant capital investment. Supports construction, transportation, and energy sectors.;;;
Industrial Goods;IND-000013;Manufactures machinery, tools, industrial equipment, and production materials for businesses. Focuses on efficiency, reliability, and automation. Supplies manufacturing, construction, and infrastructure industries.;;;
Medical Devices;IND-000014;Designs and manufactures equipment used for diagnosis, monitoring, and treatment. Products range from surgical instruments to advanced imaging systems. Strict quality standards and regulatory compliance are essential.;;;
Office and Communication Equipment;IND-000015;Produces office machines, printers, networking equipment, and communication hardware. Supports workplace productivity and business communications. Continuously evolves with advances in digital technology.;;;
Pharmaceutical;IND-000016;Discovers, develops, manufactures, and markets medicines and vaccines. Invests heavily in research, clinical trials, and regulatory approval. Improves healthcare outcomes through innovative therapies.;;;
Utilities;IND-000017;Provides essential public services including electricity, water, gas, and wastewater management. Operates critical infrastructure with high reliability requirements. Often functions under government regulation.;;;
