name;serial_number;type;description;website_url;logo_url;country_id;city_id;student_count;metadata;score_university;local_name;notes;established;score;undergraduates;postgraduates
Harvard University;UNI-000001;Private Research University;;;;USA;Cambridge,Massachusetts;20000;;;Harvard University;World prestigious university. Ivy League, highly selective.;1636;;7000;13000
Stanford University;UNI-000002;Private Research University;;;;USA;Stanford,California;15000;;;Stanford University;World-renowned university. Highly selective. Hidden Ivy League.;1885;;7000;8000
University of Cambridge;UNI-000003;Public Research University;;;;UK;Cambridge,England;24000;;;University of Cambridge;World prestigious university. Russell Group.;1209;;12000;12000
Massachusetts Institute of Technology (MIT);UNI-000004;Private Research University;;;;USA;Cambridge,Massachusetts;11500;;;Massachusetts Institute of Technology (MIT);World prestigious university. Highly selective.;1861;;4500;7000
University of California, Berkeley;UNI-000005;Public Research University;;;;USA;Berkeley,California;42000;;;University of California, Berkeley;World prestigious university. Public Ivy League, highly selective.;1868;;31000;11000
Princeton University;UNI-000006;Private Research University;;;;USA;Princeton,New Jersey;8000;;;Princeton University;World prestigious university. Ivy League, highly selective.;1746;;5300;2700
University of Oxford;UNI-000007;Public Research University;;;;UK;Oxford,England;24000;;;University of Oxford;World prestigious university. Russell Group.;1096;;12000;12000
Columbia University;UNI-000008;Private Research University;;;;USA;New York City,New York;31000;;;Columbia University;World prestigious university. Ivy League, highly selective.;1754;;8200;22800
California Institute of Technology;UNI-000009;Private Research University;;;;USA;Pasadena,California;2200;;;California Institute of Technology;World prestigious university. Highly selective.;1891;;1000;1200
University of Chicago;UNI-000010;Private Research University;;;;USA;Chicago,Illinois;17000;;;University of Chicago;World prestigious university. Highly selective. Hidden Ivy League.;1890;;6800;10200
Yale University;UNI-000011;Private Research University;;;;USA;New Haven,Connecticut;13000;;;Yale University;World prestigious university. Ivy League, highly selective.;1701;;6100;6900
University of California, Los Angeles;UNI-000012;Public Research University;;;;USA;Los Angeles,California;45000;;;University of California, Los Angeles;World prestigious university. Public Ivy League.;1919;;31000;14000
University of Washington;UNI-000013;Public Research University;;;;USA;Seattle,Washington;54000;;;University of Washington;World-renowned university, public Ivy League;1861;;32000;22000
Cornell University;UNI-000014;Private Research University;;;;USA;Ithaca,New York;23000;;;Cornell University;World prestigious university. Ivy League, highly selective.;1865;;15000;8000
University of California, San Diego;UNI-000015;Public Research University;;;;USA;San Diego,California;40000;;;University of California, San Diego;World-renowned university, public Ivy League;1903;;30000;10000
University College London;UNI-000016;Public Research University;;;;UK;London,England;45000;;;University College London;World prestigious university. Russell Group.;1826;;20000;25000
University of Pennsylvania;UNI-000017;Private Research University;;;;USA;Philadelphia,Pennsylvania;25000;;;University of Pennsylvania;World prestigious university. Ivy League, highly selective.;1740;;10000;15000
Johns Hopkins University;UNI-000018;Private Research University;;;;USA;Baltimore,Maryland;24000;;;Johns Hopkins University;World prestigious university. Highly selective. Hidden Ivy League.;1876;;6000;18000
Swiss Federal Institute of Technology Zurich;UNI-000019;Public Research University;;;;Switzerland;Zurich;20000;;;Eidgenössische Technische Hochschule Zürich;World prestigious university;1855;;10000;10000
Washington University in St. Louis;UNI-000020;Private Research University;;;;USA;St. Louis,Missouri;15000;;;Washington University in St. Louis;World-renowned university. Highly selective. Hidden Ivy League.;1853;;8000;7000
University of California, San Francisco;UNI-000021;Public Research University;;;;USA;San Francisco,California;3000;;;University of California, San Francisco;World-renowned university;1864;; N/A (UCSF does not offer undergraduate programs);3000
Northwestern University;UNI-000022;Private Research University;;;;USA;Evanston,Illinois;21000;;;Northwestern University;World-renowned university. Highly selective. Hidden Ivy League.;1851;;8000;13000
University of Toronto;UNI-000023;Public Research University;;;;Canada;Toronto,Ontario;90000;;;University of Toronto;World prestigious university. U15 Group.;1827;;60000;30000
The University of Tokyo;UNI-000024;Public Research University;;;;Japan;Tokyo;30000;;;東京大学;World prestigious university. Imperial university.;1877;;15000;15000
University of Michigan-Ann Arbor;UNI-000025;Public Research University;;;;USA;Ann Arbor,Michigan;48000;;;University of Michigan-Ann Arbor;World prestigious university. Public Ivy League.;1817;;30000;18000
Duke University;UNI-000026;Private Research University;;;;USA;Durham,North Carolina;15000;;;Duke University;World-renowned university. Highly selective. Hidden Ivy League.;1838;;6500;8500
Imperial College London;UNI-000027;Public Research University;;;;UK;London,England;18000;;;Imperial College London;World prestigious university. Russell Group.;1907;;9000;9000
University of Wisconsin - Madison;UNI-000028;Public Research University;;;;USA;Madison,Wisconsin;45000;;;University of Wisconsin - Madison;World-renowned university, public Ivy League;1848;;30000;15000
New York University;UNI-000029;Private Research University;;;;USA;New York City,New York;60000;;;New York University;World-renowned university. Highly selective.;1831;;30000;30000
University of Copenhagen;UNI-000030;Public Research University;;;;Denmark;Copenhagen;38000;;;Københavns Universitet;World-renowned university;1479;;20000;18000
University of British Columbia;UNI-000031;Public Research University;;;;Canada;Vancouver,British Columbia;60000;;;University of British Columbia;World-renowned university. U15 Group.;1908;;40000;20000
The University of Edinburgh;UNI-000032;Public Research University;;;;UK;Edinburgh,Scotland;45000;;;The University of Edinburgh;World-renowned university. Russell Group.;1582;;25000;20000
University of North Carolina at Chapel Hill;UNI-000033;Public Research University;;;;USA;Chapel Hill,North Carolina;30000;;;University of North Carolina at Chapel Hill;World-renowned university, public Ivy League;1789;;20000;10000
University of Minnesota, Twin Cities;UNI-000034;Public Research University;;;;USA;Minneapolis,Minnesota;50000;;;University of Minnesota, Twin Cities;World-renowned university, public Ivy League;1851;;33000;17000
Kyoto University;UNI-000035;Public Research University;;;;Japan;Kyoto;23000;;;京都大学;World-renowned university. Imperial university.;1897;;12000;11000
Rockefeller University;UNI-000036;Private Research University;;;;USA;New York City,New York;2000;;;Rockefeller University;Focused on Biomedical Sciences;1901;; N/A (Rockefeller is a graduate-only institution);2000
University of Illinois at Urbana-Champaign;UNI-000037;Public Research University;;;;USA;Urbana and Champaign,Illinois;50000;;;University of Illinois at Urbana-Champaign;World-renowned university, public Ivy League;1867;;30000;20000
The University of Manchester;UNI-000038;Public Research University;;;;UK;Manchester,England;40000;;;The University of Manchester;World-renowned university. Russell Group.;1824;;25000;15000
The University of Melbourne;UNI-000039;Public Research University;;;;Australia;Melbourne,Victoria;50000;;;The University of Melbourne;World-renowned university. Group of Eight (Go8).;1853;;30000;20000
Pierre and Marie Curie University - Paris 6;UNI-000040;Public Research University;;;;France;Paris;40,000 (for Sorbonne University);;;Université Pierre-et-Marie-Curie (Paris VI);Elite university in France. World-renowned university.;1257;;30000;10000
University of Paris-Sud (Paris 11);UNI-000041;Public Research University;;;;France;Orsay;30000;;;Université Paris-Sud (Paris XI);Elite university in France;2015;;15000;15000
Heidelberg University;UNI-000042;Public Research University;;;;Germany;Heidelberg,Baden-Württemberg;30000;;;Ruprecht-Karls-Universität Heidelberg;World-renowned university. Elite university in Germany.;1386;;20000;10000
University of Colorado at Boulder;UNI-000043;Public Research University;;;;USA;Boulder,Colorado;35000;;;University of Colorado Boulder;Public Ivy League;1876;;30000;5000
Karolinska Institute;UNI-000044;Public Medical University;;;;Sweden;Stockholm;3000;;;Karolinska Institutet;World-renowned university;1810;; N/A (focuses primarily on graduate programs in medical and life sciences);3000
University of California, Santa Barbara;UNI-000045;Public Research University;;;;USA;Santa Barbara,California;25000;;;University of California, Santa Barbara;World-renowned university, public Ivy League;1909;;20000;5000
King's College London;UNI-000046;Public Research University;;;;UK;London,England;30000;;;King's College London;World-renowned university. Russell Group.;1829;;16000;14000
Utrecht University;UNI-000047;Public Research University;;;;Netherlands;Utrecht;30000;;;Universiteit Utrecht;World-renowned university;1636;;20000;10000
The University of Texas Southwestern Medical Center at Dallas;UNI-000048;Public Medical University;;;;USA;Dallas,Texas;3700;;;The University of Texas Southwestern Medical Center at Dallas;Known for Medical Sciences, Healthcare and Research;1943;; N/A (medical institution);3700
Tsinghua University;UNI-000049;Public Research University;;;;China;Beijing;50000;;;清华大学;World prestigious university. C9 League.;1911;;20000;30000
Technical University Munich;UNI-000050;Public Research University;;;;Germany;Munich;40000;;;Technische Universität München;World-renowned university. Elite university in Germany.;1827;;20000;20000
The University of Texas at Austin;UNI-000051;Public Research University;;;;USA;Austin,Texas;50000;;;The University of Texas at Austin;World-renowned university, public Ivy League;1883;;40000;10000
Vanderbilt University;UNI-000052;Private Research University;;;;USA;Nashville,Tennessee;13000;;;Vanderbilt University;Highly selective. Hidden Ivy League.;1873;;7000;6000
University of Maryland, College Park;UNI-000053;Public Research University;;;;USA;College Park,Maryland;40000;;;University of Maryland, College Park;World-renowned university, public Ivy League;1856;;30000;10000
University of Southern California;UNI-000054;Private Research University;;;;USA;Los Angeles,California;47000;;;University of Southern California;World-renowned university. Highly selective. Hidden Ivy League.;1880;;19000;28000
The University of Queensland;UNI-000055;Public Research University;;;;Australia;Brisbane,Queensland;55000;;;The University of Queensland;Group of Eight (Go8);1909;;40000;15000
University of Helsinki;UNI-000056;Public Research University;;;;Finland;Helsinki;35000;;;Helsingin yliopisto;Known for Medical Sciences, Humanities and Social Sciences;1640;;20000;15000
University of Munich;UNI-000057;Public Research University;;;;Germany;Munich;50000;;;Ludwig-Maximilians-Universität München;World-renowned university. Elite university in Germany.;1472;;30000;20000
University of Zurich;UNI-000058;Public Research University;;;;Switzerland;Zurich;26000;;;Universität Zürich;World-renowned university;1833;;14000;12000
University of Groningen;UNI-000059;Public Research University;;;;Netherlands;Groningen;30000;;;Rijksuniversiteit Groningen;Known for Life Sciences, Arts and Social Sciences;1614;;18000;12000
University of Geneva;UNI-000060;Public Research University;;;;Switzerland;Geneva;17000;;;Université de Genève;Known for International Relations, Social Sciences and Law;1559;;9000;8000
