title;serial_number;category;description;seniority_level;industry_name;products;tools_and_tech;tags;metadata;score
Product Analyst;JOB-000001;;Product analysts assess market trends, customer needs, and product performance. They use data to make recommendations for product improvements or new launches.;;;"Product insights;data reports;market analysis";"Excel;SQL;Tableau;Google Analytics;Python;JIRA";;;
Outsourcing Manager;JOB-000006;;Outsourcing managers are responsible for managing the relationship with external vendors and service providers, ensuring services are delivered on time and within budget.;;;"Vendor contracts;service agreements;cost-saving initiatives";"Excel;SAP;Microsoft Project;Vendor management software";;;
Procurement Specialist;JOB-000007;;Procurement specialists manage the sourcing of materials or services needed by a company, ensuring quality, cost-efficiency, and timely delivery from suppliers.;;;"Supplier contracts;cost-efficient procurement strategies";"SAP;Oracle Procurement;Excel;Purchase Order Software";;;
Supply Chain Analyst;JOB-000008;;Supply chain analysts track and optimize the movement of goods and materials throughout the supply chain, identifying efficiencies and areas for improvement.;;;"Supply chain efficiency;inventory management reports";"Excel;SAP;Oracle;Tableau;Python;Lean/Six Sigma";;;
Product Manager;JOB-000009;;Product managers oversee the development and lifecycle of a product, from ideation to launch, ensuring it meets customer needs and business goals.;;;"Product roadmap;feature prioritization;go-to-market strategy";"JIRA;Trello;Productboard;Google Analytics;SQL";;;
Product Owner;JOB-000010;;Product owners work with development teams to ensure that product features and requirements are clearly defined and aligned with business priorities.;;;"Product backlog;feature requirements;sprint planning";"JIRA;Confluence;Trello;Slack;Aha!";;;
Franchise Manager;JOB-000011;;Franchise managers oversee the operations of franchise locations, ensuring brand standards, profitability, and compliance are maintained across locations.;;;"Franchise operational standards;profitability metrics";"Excel;SAP;POS systems;CRM software";;;
Corporate Development Manager;JOB-000012;;Corporate development managers identify new business opportunities, partnerships, and strategic acquisitions to drive growth and expansion for the company.;;;"Mergers and acquisitions;strategic partnerships";"Microsoft Excel;Salesforce;PowerPoint;CRM systems";;;
Strategy Analyst;JOB-000013;;Strategy analysts provide insights and recommendations to guide the company's strategic direction, using data and competitive analysis to inform decisions.;;;"Business strategy reports;market trend analysis";"Excel;Tableau;Google Analytics;SQL;PowerPoint";;;
Chief Financial Officer (CFO);JOB-000002;;The CFO oversees the financial operations of an organization, ensuring strategic financial planning, risk management, and compliance with regulations.;;;"Financial strategy;risk management plans";"SAP;Excel;Oracle;Tableau;Financial Modeling tools;ERP systems";;;
R&D Engineer;JOB-000003;;R&D engineers design and develop new products or technologies, conducting experiments and testing prototypes for functionality and feasibility.;;;"Prototypes;technical reports";"SolidWorks;MATLAB;Python;LabVIEW;AutoCAD;3D printers";;;
Software Engineer;JOB-000004;;Software engineers apply engineering principles to software development, focusing on the development and maintenance of software systems and applications.;;;"Software systems;applications;features";"C++;Java;Python;Git;Docker;Kubernetes;Agile methodologies";;;
Game Publisher - Publishing Producer;JOB-000005;;Publishing producers manage the relationship between game development teams and publishers, overseeing the release, marketing, and distribution of games.;;;"Game launch;marketing materials;distribution";"Jira;Trello;Slack;Excel;MS Office;Digital distribution platforms (Steam;Epic Games)";;;
Statistician;JOB-000014;;Statisticians analyze and interpret data to identify trends and patterns. They design surveys and experiments, and use statistical models to inform decision-making.;;;"Statistical models;reports;insights";"R;Python;SAS;SPSS;Excel;MATLAB;SQL";;;
Accountant;JOB-000015;;Accountants manage financial records, ensuring accuracy and compliance with regulations. They prepare reports, handle taxes, and assist with budgeting.;;;"Financial statements;tax filings";"QuickBooks;Xero;Excel;SAP;Oracle;FreshBooks";;;
Controller;JOB-000016;;Controllers oversee financial operations, ensuring compliance and efficiency. They manage budgeting, forecasting, and financial reporting within an organization.;;;"Budget reports;financial forecasts";"SAP;Excel;Oracle;Hyperion;Adaptive Insights";;;
Financial Analyst;JOB-000017;;Financial analysts analyze market trends, financial data, and economic conditions to provide investment and business recommendations.;;;"Financial models;market analysis";"Excel;Bloomberg Terminal;Python;Tableau;Power BI";;;
