Name;Level;Description;Issued by;Product Related;Jobs Related;Serial Number
Microsoft Azure Fundamentals;Beginner;Microsoft Azure Fundamentals is an entry-level certification designed to introduce individuals to the core concepts and services of Microsoft Azure, focusing on cloud computing, Azure architecture, and basic management tools. It provides foundational knowledge for deploying, managing, and securing applications in the Azure cloud environment.;Microsoft;Azure;Cloud Administrator, Cloud Services Specialist;CER-00001
AWS Certified Solutions Architect – Associate;Intermediate;Validates the ability to design and deploy scalable, highly available systems on AWS, with an emphasis on cost-optimization and security.;Amazon Web Services;AWS;Solutions Architect, Cloud Engineer;CER-00002
Cisco Certified Network Associate (CCNA);Beginner;Recognizes foundational skills in networking, including IP connectivity, security fundamentals, automation, and programmability.;Cisco;Cisco Networking Devices;Network Engineer, IT Support Specialist;CER-00003
Certified ScrumMaster (CSM);Beginner;Introduces the principles and practices of Agile and Scrum, including facilitating teamwork, removing impediments, and supporting product owners.;Scrum Alliance;Scrum;Scrum Master, Agile Coach, Product Owner;CER-00004
CompTIA Security+;Intermediate;Covers essential principles for securing networks and managing risk, including threats, vulnerabilities, cryptography, and identity management.;CompTIA;IT Security;Security Analyst, Systems Administrator;CER-00005
Google Data Analytics Professional Certificate;Beginner;Teaches skills in data collection, cleaning, analysis, visualization, and data-driven decision making with Google tools.;Google;Google Data Suite;Data Analyst, Business Intelligence Specialist;CER-00006
PMP (Project Management Professional);Advanced;Demonstrates knowledge and skills in leading and directing projects, including planning, budgeting, risk management, and stakeholder communication.;Project Management Institute;Project Management;Project Manager, Program Manager;CER-00007
Oracle Certified Professional, Java SE Programmer;Intermediate;Validates proficiency in Java programming, including syntax, object-oriented principles, and performance tuning.;Oracle;Java;Java Developer, Software Engineer;CER-00008
Certified Information Systems Auditor (CISA);Advanced;Focuses on information systems auditing, control, assurance, and security best practices.;ISACA;IS Auditing;IT Auditor, Compliance Analyst;CER-00009
Adobe Certified Professional – Photoshop;Beginner;Certifies essential Photoshop skills in image editing, compositing, and design for digital and print projects.;Adobe;Adobe Photoshop;Graphic Designer, Photographer, Digital Artist;CER-00010
