name;slug;ownership;mission;known_for;project;research_areas;products;services;budget;founded;score;city_name;numberOfEmployees;parent_organization_name;metadata;authority;collections;description;facilities;founders;jurisdiction;members;offices;partners;personnel;programs_activities;serial_number;subsidiaries;subtype;type1;type2;student_count;undergraduates;postgraduates;countries;industries;working_area_cities
Altivara Systems;altivara-systems;Public;;Easy-to-use CRM with AI-driven customer analytics;;;"Altivara CRM Platform;Customer Insights AI";;;1991;;;RANGE_11_50;;;;;;;;;;;;;;COM-000002;6;COMPANY;International Company;;;;;;;
Pekamix Global;pekamix-global;Public;;Scalable global cloud infrastructure;;;"CloudFlex IaaS;Pekamix Cloud Storage";;;1984;;;RANGE_5000_PLUS;;;;;;;;;;;;;;COM-000003;CloudFlex Asia, CloudFlex EU;COMPANY;International Company;;;;;;;
Redmont Networks;redmont-networks;Public;;Advanced cybersecurity for enterprises;;;"SecureNet Firewall;Redmont Threat Intelligence";;;2017;;Singapore;RANGE_1001_5000;;;;;;;;;;;;;;COM-000004;;COMPANY;International Company;;;;;;;
Elevatech Cloud Services;elevatech-cloud-services;Public;;Next-gen cloud-based networking and telecom;;;"Elevate VPN;CloudConnect Telephony";;;2024;;San Francisco;RANGE_1001_5000;;;;;;;;;;;;;;COM-000005;Elevatech Networks;COMPANY;Global Company;;;;;;;
Gridline K.K.;gridline-k-k;Public;;High-performance global data center infrastructure;;;"DataVault Servers;Gridline Edge Data Centers";;;1989;;Seattle;RANGE_201_1000;;;;;;;;;;;;;;COM-000006;Gridline Asia, Gridline Europe;COMPANY;Global Company;;;;;;;
AegisPoint Infra;aegispoint-infra;Public;;Cutting-edge AI solutions for automation;;;"Aegis AI Platform;Machine Learning Modules";;;1998;;Austin;RANGE_201_1000;;;;;;;;;;;;;;COM-000007;;COMPANY;Global Company;;;;;;;
RedLock Digital;redlock-digital;Public;;Secure IoT devices for industrial applications;;;"IoT Secure Hub;Embedded Sensor Kits";;;2012;;Boston;RANGE_201_1000;;;;;;;;;;;;;;COM-000008;RedLock Embedded;COMPANY;Global Company;;;;;;;
CipherTrax Labs;ciphertrax-labs;Public;;Ultra-secure storage and backup solutions;;;"Cipher Backup Pro;Encrypted Cloud Storage";;;2026;;New York City;RANGE_1001_5000;;;;;;;;;;;;;;COM-000009;CipherTrax EU;COMPANY;International Company;;;;;;;
ByteForge Security;byteforge-security;Public;;Leading mobile and desktop security software;;;"ByteOS;ByteShield Antivirus";;;2007;;Toronto;RANGE_5000_PLUS;;;;;;;;;;;;;;COM-000010;7;COMPANY;International Company;;;;;;;
Draxenbridge Solutions;draxenbridge-solutions;Public;;Developer-centric software development and automation tools;;;"DevSuite;CodeFlow CI/CD Tools";;;1995;;Vancouver;RANGE_1001_5000;;;;;;;;;;;;;;COM-000011;8;COMPANY;International Company;;;;;;;
Tyverra Digital;tyverra-digital;Public;;Robust virtualization and container orchestration platforms;;;"Tyverra Virtualizer;Container Master";;;2019;;Montreal;RANGE_1001_5000;;;;;;;;;;;;;;COM-000012;9;COMPANY;Global Company;;;;;;;
Bravionyx Cloudworks;bravionyx-cloudworks;Public;;Integrated payment and e-commerce solutions;;;"Bravionyx Pay;E-Commerce Cloud Platform";;;1989;;;RANGE_1001_5000;;;;;;;;;;;;;;COM-000013;2;COMPANY;Global Company;;;;;;;
Klyrion Systems;klyrion-systems;Public;;Innovative wearable technology with health tracking;;;"Klyrion WearOS;SmartWatch X";;;1998;;;RANGE_201_1000;;;;;;;;;;;;;;COM-000014;3;COMPANY;Global Company;;;;;;;
LedgerWave;ledgerwave;Private;;;;;"Stock Trading;Swaps;Wealth Management";;;2003;;;RANGE_201_1000;;;;;;;;;;;;;;COM-000015;9;COMPANY;Local Company;;;;;;;
Vestrion Flow;vestrion-flow;Private;;;;;"Freight Management;SCM Consulting";;;1995;;Rotterdam;RANGE_1001_5000;;;;;;;;;;;;;;COM-000016;7;COMPANY;Local Company;;;;;;;
Steelvane Staffing;steelvane-staffing;Private;;;;;"Talent Acquisition;Executive Search";;;2010;;Chicago;RANGE_201_1000;;;;;;;;;;;;;;COM-000017;6;COMPANY;Local Company;;;;;;Recruitment;
Nanotreck Industries;nanotreck-industries;Private;;;;;"Precision Components;Machinery";;;1988;;Zurich;RANGE_1001_5000;;;;;;;;;;;;;;COM-000018;4;COMPANY;Local Company;;;;;;;
