name;serial_number;level;area;duration_years;description;score;metadata
Master in Philosophy and English Literature;DEG-000001;MASTER;Literature & Philosophy;2;Focuses on literary and philosophical texts. Develops analytical and interpretive skills. Studies cultural theory. Emphasises critical reading. Prepares for academic careers.;;
Master in Philosophy and Mathematics;DEG-000002;MASTER;Mathematical Philosophy;2;Focuses on logic and mathematical reasoning. Develops analytical and abstract thinking. Studies formal systems. Emphasises theoretical inquiry. Prepares for research careers.;;
Master in Philosophy and Public Policy;DEG-000003;MASTER;Policy Studies;2;Focuses on ethical foundations of policy-making. Develops analytical and governance skills. Studies public systems. Emphasises decision frameworks. Prepares for policy roles.;;
Master in Philosophy and Religion;DEG-000004;MASTER;Religious Studies;2;Focuses on philosophical analysis of religion. Develops interpretive and critical skills. Studies belief systems. Emphasises theological inquiry. Prepares for academic roles.;;
Master in Photonics;DEG-000005;MASTER;Physics & Engineering;2;Focuses on light manipulation and optical systems. Develops experimental and theoretical skills. Studies wave optics. Emphasises applied physics. Prepares for research roles.;;
Master in Photonics and Quantum Sciences;DEG-000006;MASTER;Quantum Technology;2;Focuses on quantum optics and photonics. Develops theoretical and experimental skills. Studies quantum systems. Emphasises advanced research. Prepares for scientific careers.;;
Master in Physical Sciences;DEG-000007;MASTER;Natural Sciences;2;Focuses on physics and related sciences. Develops analytical and experimental skills. Studies matter and energy. Emphasises research methods. Prepares for scientific careers.;;
Master in Physical Therapy and Rehabilitation;DEG-000008;MASTER;Rehabilitation Science;2;Focuses on restoring physical function after injury. Develops therapeutic skills. Studies movement recovery. Emphasises clinical rehabilitation. Prepares for therapy careers.;;
Master in Physics and Technology of Nanostructures;DEG-000009;MASTER;Nanotechnology;2;Focuses on engineered nanoscale structures. Develops experimental and fabrication skills. Studies quantum effects. Emphasises advanced materials. Prepares for research roles.;;
Master in Physics and Thermal Physics of Innovative Nuclear Power Installations;DEG-000010;MASTER;Nuclear Energy;2;Focuses on thermal and reactor physics. Develops modelling and engineering skills. Studies nuclear systems. Emphasises energy innovation. Prepares for nuclear industry roles.;;
Master in Physics of Complex Systems and Biophysics;DEG-000011;MASTER;Biophysics;2;Focuses on complex systems in biology and physics. Develops analytical skills. Studies living systems. Emphasises interdisciplinary research. Prepares for scientific careers.;;
Master in Physics with Mathematics;DEG-000012;MASTER;Mathematical Physics;2;Focuses on mathematical methods in physics. Develops modelling and analytical skills. Studies theoretical frameworks. Emphasises problem-solving. Prepares for research roles.;;
