name;serial_number;country_id;is_capital;state_province;population;number_of_multinational_hqs;number_of_airports;largest_organization;currency;median_salary;median_home_price;average_rent;cost_of_living;temperatures;climate;interesting_fact;degree_holders;number_of_universities;top_universities;number_of_nationalities;language;people_description;latitude;longitude;metadata;main_industries
6th of October City;CIT-000001;EG;FALSE;;500,000 (Foreign Born: 50,000);15;1;Juhayna, October Pharma, Misr Cement Qena;USD;4000;35000;250;LOW;7°C to 38°C;"Hot, dry summers; mild winters; little rainfall";"Planned city to reduce Cairo congestion; edu & industry hub";20% Bachelor, 5% Master, 1% PhD;15;October 6 University, Misr University for Science and Technology, Nile University;10+;"ARABIC;ENGLISH;FRENCH";Ambitious, young, growing rapidly, urbanized;;;;
Aachen;CIT-000002;DE;FALSE;;250,000 (Foreign Born: 55,000);20;1;Grünenthal, Philips (regional), Aixtron, Ford R&D;EUR;45000;320000;950;MEDIUM;−5°C to 30°C;"Oceanic; mild-cool winters; warm summers; rain";"Historic cathedral (UNESCO site); science & tech center";35% Bachelor, 20% Master, 7% PhD;4;RWTH Aachen University, FH Aachen University of Applied Sciences;60+;"GERMAN;ENGLISH;TURKISH;ARABIC";Knowledgeable, multicultural, eco-conscious, innovative;;;;
Aalborg;CIT-000003;DK;FALSE;;120,000 (Foreign Born: 15,000);20;1;Aalborg Portland, Siemens Gamesa (local office), Asetek;EUR;55000;310000;1100;MEDIUM;−4°C to 25°C;"Temperate oceanic; cool winters; mild summers; moderate rain";"From industrial to cultural & tech hub; focus on sustainability";40% Bachelor, 15% Master, 5% PhD;3;Aalborg University;30+;"DANISH;ENGLISH;GERMAN;ARABIC";Friendly, eco-aware, innovative, community-oriented;;;;
Aalst;CIT-000004;BE;FALSE;;88,000 (Foreign Born: 13,000);10;1;Ontex, UZ Aalst, Christeyns;EUR;48000;290000;1000;MEDIUM;−3°C to 23°C;Moderate, cool winters, mild summers;Famous for its UNESCO recognized Carnival;32% (Bachelor), 8% (Master), 2% (PhD);6;Artevelde University of Applied Sciences, Katholieke Universiteit Leuven;100+;"DUTCH;FRENCH;ENGLISH;GERMAN";Friendly, community-oriented, and proud of their cultural heritage;;;;
Aarau;CIT-000005;CH;FALSE;;21,000 (Foreign Born: 6,000);10;1;IBAarau, KSA (Cantonal Hospital), local Swiss energy firms;CHF;75000;500000;1500;HIGH;−4°C to 20°C;Temperate, cold winters, pleasant summers;Capital of Aargau, with medieval architecture;40% (Bachelor), 15% (Master), 6% (PhD);3;University of Applied Sciences and Arts Northwestern Switzerland, Aarau Business School;80+;"GERMAN;ENGLISH;ITALIAN;FRENCH";Quiet, efficient, and highly educated;;;;
Aarhus;CIT-000006;DK;FALSE;;285,000 (Foreign Born: 47,000);35;1;Arla Foods HQ, Vestas (R&D), Terma, Systematic;EUR;58000;370000;1200;MEDIUM_HIGH;−2°C to 22°C;Temperate, cold winters, mild summers;Aarhus is Denmark's second-largest city and a cultural hub;38% (Bachelor), 12% (Master), 5% (PhD);8;Aarhus University, VIA University College;100+;"DANISH;ENGLISH;GERMAN";Creative, intellectual, and highly community-driven;;;;
Abancay;CIT-000007;PE;FALSE;;58,000 (Foreign Born: 1,000);Very few;1;Local cooperatives, regional mining services;USD;4000;30000;200;LOW;9°C to 28°C;High-altitude, dry, and mild summers;Abancay is known for its natural beauty and Andean landscapes;18% (Bachelor), 4% (Master), 1% (PhD);2;Universidad Nacional Micaela Bastidas de Abancay;20+;"SPANISH;QUECHUA";Warm, traditional, and proud of their heritage;;;;
Abbotsford;CIT-000008;CA;FALSE;;150,000 (Foreign Born: 40,000);20;1;Tradex, Abbotsford Regional Hospital, Nature’s Path;CAD;65000;1000000;2200;MEDIUM;−5°C to 25°C;Temperate, cool winters, warm summers;"Abbotsford is known as the ""City in the Country"" due to its agricultural economy";40% (Bachelor), 14% (Master), 4% (PhD);3;University of the Fraser Valley, Columbia Bible College;60+;"ENGLISH;PUNJABI;GERMAN";Friendly, family-oriented, and focused on sustainability;;;;
Abbottabad;CIT-000009;PK;FALSE;;230,000 (Foreign Born: 3,000);Very few;1;Ayub Medical College, Military institutions, local universities;USD;3500;28000;150;LOW;10°C to 28°C;Mild, temperate climate with cool winters;Abbottabad is famous for its scenic views and military academy;28% (Bachelor), 6% (Master), 2% (PhD);4;Abbottabad University of Science & Technology, Hazara University;25+;"URDU;PASHTO;ENGLISH";Calm, disciplined, and proud of their historical significance;;;;
Aberdeen;CIT-000010;GB;FALSE;;200,000 (Foreign Born: 25,000);30;1;Wood Group, TAQA Europe, Aberdeen University;GBP;35000;210000;800;MEDIUM;−2°C to 19°C;Oceanic, cool winters, mild summers;"Aberdeen is known as the ""Granite City"" due to its grey stone buildings";45% (Bachelor), 10% (Master), 3% (PhD);4;University of Aberdeen, Robert Gordon University;70+;"ENGLISH;SCOTS;SCOTTISH_GAELIC";Friendly, hardworking, and proud of their maritime heritage;;;;
Abha;CIT-000011;SA;FALSE;;1.1 million (Foreign Born: 300,000);Few;1;Local tourism and service firms;USD;11000;85000;350;LOW_MEDIUM;10°C to 30°C;Mild, cool summers, moderate winters;Abha is a popular summer destination due to its cool climate and mountainous terrain;25% (Bachelor), 5% (Master), 1% (PhD);2;King Khalid University, Abha University;30+;"ARABIC;ENGLISH";Warm, hospitality-driven, and closely tied to tradition;;;;
Abilene;CIT-000012;US;FALSE;;125,000 (Foreign Born: 13,000);Few;1;Hendrick Health, Dyess Air Force Base, First Financial Bank;USD;48000;210000;1100;LOW_MEDIUM;5°C to 35°C;Hot summers, mild winters;Abilene is home to several colleges and is known for its historic downtown district;38% (Bachelor), 8% (Master), 3% (PhD);4;Abilene Christian University, Hardin-Simmons University;20+;"ENGLISH;SPANISH";Friendly, laid-back, and community-oriented;;;;
Abington;CIT-000013;US;FALSE;;56,000 (Foreign Born: 8,000);Few;1;Abington Hospital (Jefferson Health), Penn State Abington;USD;65000;330000;1600;MEDIUM_HIGH;−3°C to 27°C;Temperate, cold winters, mild summers;Abington is known for its beautiful parks and proximity to Philadelphia;40% (Bachelor), 12% (Master), 4% (PhD);3;Temple University (Abington campus), Penn State Abington;50+;"ENGLISH;SPANISH;ITALIAN";Suburban, family-oriented, and academically focused;;;;
Abu Dhabi;CIT-000014;AE;FALSE;;1.5 million (Foreign Born: 1.2 million);100+;2;ADNOC, Etihad Airways, Mubadala, First Abu Dhabi Bank;USD;60000;600000;2200;HIGH;18°C to 40°C;Desert climate, very hot summers, mild winters;Abu Dhabi is the capital of the UAE and a major global business hub;60% (Bachelor), 25% (Master), 8% (PhD);6;United Arab Emirates University, Khalifa University;100+;"ARABIC;ENGLISH";Modern, cosmopolitan, and focused on innovation and business growth;;;;
Adelaide;CIT-000015;AU;FALSE;;1.4 million (Foreign Born: 400,000);80;1;Santos, BAE Systems Australia, University of Adelaide;AUD;85000;850000;2500;MEDIUM_HIGH;8°C to 30°C;Mediterranean, mild winters, warm summers;Adelaide is famous for its festivals, wine regions, and proximity to the beach;45% (Bachelor), 10% (Master), 5% (PhD);4;University of Adelaide, Flinders University;50+;"ENGLISH;ITALIAN;GREEK;CHINESE_MANDARIN";Laid-back, innovative, and deeply involved in arts and culture;;;;
Oxford;CIT-000106;GB;FALSE;England;;;;;GBP;;;;;;;;;;;;ENGLISH;;;;;
New York City;CIT-000107;US;FALSE;New York;;;;;USD;;;;;;;;;;;;ENGLISH;;;;;
Agadir;CIT-000016;MA;FALSE;;900,000 (Foreign Born: 30,000);Few;1;Local agribusiness and tourism chains;USD;6500;80000;250;LOW;14°C to 27°C;Semi-arid, mild winters, warm summers;Agadir is a popular tourist destination known for its beaches and the Agadir Oufella fort;20% (Bachelor), 5% (Master), 1% (PhD);2;Ibn Zohr University, Agadir University;30+;"ARABIC;BERBER;FRENCH;ENGLISH";Friendly, relaxed, and focused on tourism and hospitality;;;;
