name;serial_number;country_id;is_capital;state_province;population;number_of_multinational_hqs;number_of_airports;largest_organization;currency;median_salary;median_home_price;average_rent;cost_of_living;temperatures;climate;interesting_fact;degree_holders;number_of_universities;top_universities;number_of_nationalities;language;people_description;latitude;longitude;metadata;main_industries
6th of October City;CIT-000001;EG;;;500,000 (Foreign Born: 50,000);15;1 (via Cairo Intl. Airport);Juhayna, October Pharma, Misr Cement Qena;USD;4000;35000;250;Low;7°C to 38°C;"Hot, dry summers; mild winters; little rainfall";"Planned city to reduce Cairo congestion; edu & industry hub";20% Bachelor, 5% Master, 1% PhD;15;October 6 University, Misr University for Science and Technology, Nile University;10+;Arabic, English, French;Ambitious, young, growing rapidly, urbanized;;;;
Aachen;CIT-000002;DE;;;250,000 (Foreign Born: 55,000);20;1 (Maastricht Aachen Airport);Grünenthal, Philips (regional), Aixtron, Ford R&D;EUR;45000;320000;950;Moderate;−5°C to 30°C;"Oceanic; mild-cool winters; warm summers; rain";"Historic cathedral (UNESCO site); science & tech center";35% Bachelor, 20% Master, 7% PhD;4;RWTH Aachen University, FH Aachen University of Applied Sciences;60+;German, English, Turkish, Arabic;Knowledgeable, multicultural, eco-conscious, innovative;;;;
Aalborg;CIT-000003;DK;;;120,000 (Foreign Born: 15,000);20;1 (Aalborg Airport);Aalborg Portland, Siemens Gamesa (local office), Asetek;EUR;55000;310000;1100;Moderate;−4°C to 25°C;"Temperate oceanic; cool winters; mild summers; moderate rain";"From industrial to cultural & tech hub; focus on sustainability";40% Bachelor, 15% Master, 5% PhD;3;Aalborg University;30+;Danish, English, German, Arabic;Friendly, eco-aware, innovative, community-oriented;;;;
Aalst;CIT-000004;BE;;;88,000 (Foreign Born: 13,000);10;1 (near Brussels Airport);Ontex, UZ Aalst, Christeyns;EUR;48000;290000;1000;Moderate;−3°C to 23°C;Moderate, cool winters, mild summers;Famous for its UNESCO recognized Carnival;32% (Bachelor), 8% (Master), 2% (PhD);6;Artevelde University of Applied Sciences, Katholieke Universiteit Leuven;100+;Dutch, French, English, German;Friendly, community-oriented, and proud of their cultural heritage;;;;
Aarau;CIT-000005;CH;;;21,000 (Foreign Born: 6,000);10;1 (Zurich Airport ~40 min away);IBAarau, KSA (Cantonal Hospital), local Swiss energy firms;CHF;75000;500000;1500;High;−4°C to 20°C;Temperate, cold winters, pleasant summers;Capital of Aargau, with medieval architecture;40% (Bachelor), 15% (Master), 6% (PhD);3;University of Applied Sciences and Arts Northwestern Switzerland, Aarau Business School;80+;German, English, Italian, French;Quiet, efficient, and highly educated;;;;
Aarhus;CIT-000006;DK;;;285,000 (Foreign Born: 47,000);35;1 (Aarhus Airport);Arla Foods HQ, Vestas (R&D), Terma, Systematic;EUR;58000;370000;1200;Moderate to High;−2°C to 22°C;Temperate, cold winters, mild summers;Aarhus is Denmark's second-largest city and a cultural hub;38% (Bachelor), 12% (Master), 5% (PhD);8;Aarhus University, VIA University College;100+;Danish, English, German;Creative, intellectual, and highly community-driven;;;;
Abancay;CIT-000007;PE;;;58,000 (Foreign Born: 1,000);Very few;1 (Andahuaylas Airport ~2 hrs away);Local cooperatives, regional mining services;USD;4000;30000;200;Low;9°C to 28°C;High-altitude, dry, and mild summers;Abancay is known for its natural beauty and Andean landscapes;18% (Bachelor), 4% (Master), 1% (PhD);2;Universidad Nacional Micaela Bastidas de Abancay;20+;Spanish, Quechua;Warm, traditional, and proud of their heritage;;;;
Abbotsford;CIT-000008;CA;;;150,000 (Foreign Born: 40,000);20;1 (Abbotsford International Airport);Tradex, Abbotsford Regional Hospital, Nature’s Path;CAD;65000;1000000;2200;Moderate;−5°C to 25°C;Temperate, cool winters, warm summers;"Abbotsford is known as the ""City in the Country"" due to its agricultural economy";40% (Bachelor), 14% (Master), 4% (PhD);3;University of the Fraser Valley, Columbia Bible College;60+;English, Punjabi, German;Friendly, family-oriented, and focused on sustainability;;;;
Abbottabad;CIT-000009;PK;;;230,000 (Foreign Born: 3,000);Very few;1 (Islamabad Intl. Airport ~2 hrs away);Ayub Medical College, Military institutions, local universities;USD;3500;28000;150;Low;10°C to 28°C;Mild, temperate climate with cool winters;Abbottabad is famous for its scenic views and military academy;28% (Bachelor), 6% (Master), 2% (PhD);4;Abbottabad University of Science & Technology, Hazara University;25+;Urdu, Pashto, English;Calm, disciplined, and proud of their historical significance;;;;
Aberdeen;CIT-000010;GB;;;200,000 (Foreign Born: 25,000);30;1 (Aberdeen International Airport);Wood Group, TAQA Europe, Aberdeen University;GBP;35000;210000;800;Moderate;−2°C to 19°C;Oceanic, cool winters, mild summers;"Aberdeen is known as the ""Granite City"" due to its grey stone buildings";45% (Bachelor), 10% (Master), 3% (PhD);4;University of Aberdeen, Robert Gordon University;70+;English, Scots, Gaelic;Friendly, hardworking, and proud of their maritime heritage;;;;
