Organization Name;Type 1;Industry;Founded ;Type 2;Headquarters Location;Parent;Number of Offices;Number of Employees;Products;Subsidiaries;Known For;Serial Number
Amtel Systems;Local Company;Communication Hardware, Customer Service, Manufacturing, Messaging, SMS, Technical Support;1900;Public;Chester Springs, Pennsylvania, United States;Quixote Corp.;;;Product 1;2.0;Innovation;COM-000001
Archeio Technologies;Local Company;Oil and Gas, SaaS, Software;2014;Public;Dallas, Texas, United States;Quorum Software;;101-250;Product 2;2.0;Innovation;COM-000002
Arcinova;Local Company;Biotechnology, Chemical;2015;Public;Alnwick, Northumberland, United Kingdom;Quotient Sciences;;101-250;Product 3;2.0;Innovation;COM-000003
Ahalogy;Local Company;Brand Marketing, Content, Content Creators, Content Marketing, Information Technology, SaaS, Social Media, Software;2012;Public;Cincinnati, Ohio, United States;Quotient Technology;;11-50;Product 4;2.0;Innovation;COM-000004
Advertise Me;Local Company;Web Development;2008;Public;Le Bâtiment, Bretagne, France;Qwamplify;;;Product 5;2.0;Innovation;COM-000005
Audience+;Local Company;Software;2009;Public;London, England, United Kingdom;Qwamplify;;11-50;Product 6;2.0;Innovation;COM-000006
Applied Engineering Products;Local Company;Electronics, Manufacturing;1973;Public;New Haven, Connecticut, United States;Radiall Corp;;;Product 7;2.0;Innovation;COM-000007
4DK Technologies;Local Company;Mobile, Professional Services, Telecommunications;2005;Public;Herndon, Virginia, United States;Radius Networks;;11-50;Product 8;2.0;Innovation;COM-000008
10East;Local Company;Web Hosting;2002;Public;Jacksonville, Florida, United States;Railcar Management;;11-50;Product 9;2.0;Innovation;COM-000009
Agonas;National Company;Media and Entertainment, Sports;1900;Public;Sundbyberg, Stockholms Lan, Sweden;RakeTech;;;Product 10;2.0;Innovation;COM-000010
Astro Media Group;National Company;Advertising, Marketing;2016;Public;Stockholm, Stockholms Lan, Sweden;RakeTech;;;Product 11;2.0;Innovation;COM-000011
AIP Corporation;National Company;Internet, Market Research, Marketing;1997;Public;Tokyo, Tokyo, Japan;Rakuten;;101-250;Product 12;2.0;Innovation;COM-000012
Asahi Fire & Marine Insurance Co.;National Company;Insurance, Real Estate;1951;Public;Tokyo, Tokyo, Japan;Rakuten;;;Product 13;2.0;Innovation;COM-000013
AnyCoupons;National Company;Coupons, E-Commerce;2000;Public;Los Angeles, California, United States;Rakuten Rewards;;11-50;Product 14;2.0;Innovation;COM-000014
6th Sense Analytics;National Company;Analytics, Software, Web Development;2004;Public;Morrisville, North Carolina, United States;Rally Software;;11-50;;;;COM-000015
Agile Advantage;National Company;Consulting, Information Technology, Software;2009;Public;Redmond, Washington, United States;Rally Software;;11-50;;;;COM-000016
AgileZen;National Company;Enterprise Software, Internet, Project Management, Software;2009;Public;Boulder, Colorado, United States;Rally Software;;11-50;;;;COM-000017
Afisha-ua;National Company;Online Portals;2008;Public;Kiev, Kyyivs'ka Oblast', Ukraine;Rambler;;;;;;COM-000018
Agenton;National Company;Real Estate;2010;Public;;Rambler;;;;;;COM-000019
Agentrade Plusz;Regional Company;Construction, Industrial, Machinery Manufacturing;1991;Private;Budapest, Budapest, Hungary;Ramirent;;;;;;COM-000020
AptHost Communications;Regional Company;Web Hosting;2001;Private;Seattle, Washington, United States;Rancho Santa Monica Developments;;101-250;;;;COM-000021
American Steamship Company;Regional Company;Logistics;1900;Private;New York, New York, United States;Rand Logistics;;;;;;COM-000022
Accredited Holding Corp;Regional Company;Insurance;1959;Private;Winter Park, Florida, United States;Randall and Quilter Investment;;;;;;COM-000023
ACE American Reinsurance;Regional Company;Insurance;1900;Private;Philadelphia, Pennsylvania, United States;Randall and Quilter Investment;;;;;;COM-000024
Agency Program Insurance;Regional Company;Insurance;1900;Private;Hamilton, Hamilton, Bermuda;Randall and Quilter Investment;;;;;;COM-000025
Alma Insurance Co.;Regional Company;Insurance;1989;Private;Helsinki, Southern Finland, Finland;Randall and Quilter Investment;;;;;;COM-000026
A. M. Associates Insurance Services;Regional Company;Consulting, Insurance;1900;Private;Toronto, Ontario, Canada;Randall and Quilter Investment;;;;;;COM-000027
Arran Insurance;Regional Company;Insurance;1980;Private;London, England, United Kingdom;Randall and Quilter Investment;;;;;;COM-000028
AstraZeneca Insurance;Regional Company;Insurance;1999;Private;London, England, United Kingdom;Randall and Quilter Investment;;;;;;COM-000029
Anthology;International Company;Business Development, Career Planning;2014;Private;Seattle, Washington, United States;randrr;;11-50;;;;COM-000030
Artworx Studios;International Company;Internet;1999;Private;;Rant;;;;;;COM-000031
Amore TV;International Company;Digital Entertainment, TV Production;2003;Private;Fort Lauderdale, Florida, United States;Rapid Fitness;;;;;;COM-000032
Alcide;International Company;Cloud Security, Cyber Security, Data Center, Information Technology, Network Security, Security, Software;2016;Private;Tel Aviv, Tel Aviv, Israel;Rapid7;;11-50;;;;COM-000033
Arula Systems;International Company;Enterprise Software, Hardware, Service Industry;1999;Private;Santa Clara, California, United States;Raritan Australia;;101-250;;;;COM-000034
AUTOPAY;International Company;Finance, Financial Services, Marketplace;2007;Private;Denver, Colorado, United States;RateGenius;;101-250;;;;COM-000035
airteam a/s;International Company;Industrial Engineering;1998;Private;Viby, Midtjylland, Denmark;Ratos;;11-50;;;;COM-000036
AgSync;International Company;Agriculture, AgTech, Software;1900;Private;Wakarusa, Indiana, United States;Raven Industries;;;;;;COM-000037
Alternet;International Company;News, Publishing;1998;Private;San Francisco, California, United States;Raw Story;;11-50;;;;COM-000038
Aggregator Ltd.;International Company;Content, Digital Media;2004;Private;London, England, United Kingdom;RawFlow;;;;;;COM-000039
Audiobooks.com;Global Company;Audiobooks, Education;2012;Private;Burlington, Ontario, Canada;RBmedia;;51-100;;;;COM-000040
Angels Landing;Global Company;Toys;1900;Private;Ohio City, Ohio, United States;RC2 Corporation;;;;;;COM-000041
A&GP Trading;Global Company;Telecommunications;1997;Private;Camberley, Surrey, United Kingdom;Rcapital;;;;;;COM-000042
AirHop;Global Company;Leisure;1900;Private;Bristol, Bristol, City of, United Kingdom;Rcapital;;;;;;COM-000043
AirIQ;Global Company;Automotive, CRM, Information Technology;1900;Private;Liverpool, Liverpool, United Kingdom;Rcapital;;;;;;COM-000044
Austin Nichols Technical Temporaries;Global Company;Recruiting;1900;Private;Kansas City, Kansas, United States;RCM Technologies;;;;;;COM-000045
1Form.com;Global Company;Real Estate;2006;Private;Prahran, Victoria, Australia;REA Group;;11-50;;;;COM-000046
AAT Alber Antriebstechnik;Global Company;Consumer Goods, Manufacturing;1995;Private;Albstadt, Baden-Wurttemberg, Germany;REAC Group;;;;;;COM-000047
Aegisoft;Global Company;Software;1999;Private;Rockville, Maryland, United States;Real Networks;;;;;;COM-000048
Atrativa;Global Company;Digital Entertainment, Gaming, Publishing;2000;Private;São Paulo, Sao Paulo, Brazil;Real Networks;;;;;;COM-000049
Alfea Consulting;Global Company;Information Technology, Software;2004;Private;Mons, Hainaut, Belgium;RealDolmen;;101-250;;;;COM-000050
Axias;Global Company;Consulting, Information Technology, Management Consulting;2000;Private;Kontich, Antwerpen, Belgium;RealDolmen;;;;;;COM-000051
American Summit Insurance Company;Global Company;Insurance, Property Insurance;1900;Private;Waco, Texas, United States;ReAlign Insurance Holdings;;;;;;COM-000052
ActiveBuilding;Global Company;E-Commerce, Payments, Rental;2008;Private;Seattle, Washington, United States;RealPage;;101-250;;;;COM-000053
A.L. Wizard;Global Company;Health Care, Software;1999;Private;San Diego, California, United States;RealPage;;;;;;COM-000054
