name;serial_number;type;categories;description;icon_url;industry;difficulty;used_in;jobs;product_categories;common_fields_of_study;related_abilities;time_to_master;score;metadata
Blockchain Development;SKI-000001;Technical Skill;Blockchain, Software Engineering, Security;;;Technology, Finance, Gaming, Security;;FinTech, Software Development, Supply Chain, Gaming;Blockchain Developer, Software Engineer, Smart Contract Developer;Cryptocurrencies, Decentralized Applications, Smart Contracts;Computer Science, Engineering, Cryptography;Cryptography, Distributed Systems, Smart Contracts, Security;6-12 months (basic proficiency), 2-3 years (advanced expertise);;
2D & 3D Modeling;SKI-000002;Creative & Technical Skill;Design, Computer Graphics, Animation;;;Entertainment, Gaming, Architecture, VR/AR;;Game Design, Film Production, Architecture, VR/AR;3D Modeler, Character Artist, Industrial Designer;Video Games, Films, Virtual Environments;Digital Arts, Fine Arts, Game Design;Creativity, Texturing, Lighting, Attention to Detail, Software Proficiency (e.g., Blender, Maya, ZBrush);6-12 months (basic proficiency), 1-2 years (advanced expertise);;
3D Computational Geometry;SKI-000003;Technical Skill;Geometry, Computer Science, Visualization;;;Engineering, Robotics, Gaming, Simulation;;Robotics, Engineering, Game Design, Simulation;Computational Geometer, Robotics Engineer, Simulation Developer;Robotics, Engineering Software, Games;Mathematics, Computer Science, Engineering;Geometry Algorithms, Spatial Data Structures, Programming (e.g., C++, Python);1-2 years (intermediate to advanced expertise);;
3D IC Design;SKI-000004;Technical Skill;Electronics, Circuit Design, Engineering;;;Technology, Manufacturing;;Semiconductor Industry, Electronics Manufacturing;IC Design Engineer, Circuit Designer, Electronics Engineer;Semiconductors, Consumer Electronics;Electrical Engineering, Computer Engineering;Circuit Design, CAD Tools, Signal Processing, Physical Design;1-2 years (intermediate to advanced expertise);;
3D Image Reconstruction;SKI-000005;Technical Skill;Computer Vision, Imaging, Medical Imaging;;;Healthcare, Research, Gaming, Technology;;Medical Imaging, Computer Vision, Virtual Reality;Imaging Specialist, Data Scientist, Research Scientist;Medical Scans, 3D Models, Virtual Reality;Computer Science, Biomedical Engineering, Mathematics;Image Processing, Algorithms, Software Proficiency (e.g., MATLAB, OpenCV);1-2 years (intermediate expertise);;
3D Molecular Visualization;SKI-000006;Technical Skill;Molecular Biology, Visualization, Computing;;;Healthcare, Biotech, Pharmaceuticals;;Biotechnology, Healthcare, Pharmaceuticals;Bioinformatics Specialist, Research Scientist, Computational Biologist;Drug Development, Molecular Modeling;Biochemistry, Bioinformatics, Computer Science;Molecular Modeling, Visualization Tools (e.g., PyMOL, Chimera);1-2 years (intermediate to advanced expertise);;
3D Packaging;SKI-000007;Technical Skill;Engineering, Design, Manufacturing;;;Manufacturing, Electronics, Packaging;;Electronics, Consumer Goods, Packaging Industry;Packaging Engineer, Industrial Designer, Product Designer;Product Packaging, Electronics, Consumer Goods;Engineering, Industrial Design, Materials Science;3D Printing, CAD Tools, Structural Design, Materials Selection;1-2 years (intermediate expertise);;
Accelerated Life Testing;SKI-000008;Technical Skill;Testing, Reliability Engineering;;;Manufacturing, Aerospace, Electronics;;Manufacturing, Electronics, Aerospace;Reliability Engineer, Test Engineer, QA Engineer;Product Testing, Quality Assurance;Mechanical Engineering, Electrical Engineering;Failure Analysis, Statistical Modeling, Stress Testing;1-2 years (intermediate expertise);;
Accelerometer Design;SKI-000009;Technical Skill;Electronics, Mechanical Engineering;;;Electronics, Automotive, Aerospace;;Consumer Electronics, Automotive, Aerospace;Sensor Design Engineer, Electronics Engineer, Mechatronics Engineer;Wearables, Automotive Systems, Drones;Electrical Engineering, Mechanical Engineering, Physics;Sensor Design, Signal Processing, MEMS Technology;1-2 years (intermediate to advanced expertise);;
Account Development;SKI-000010;Business & Technical Skill;Sales, Customer Relations, Marketing;;;Technology, Sales, Marketing, Finance;;SaaS, B2B Sales, Marketing, Business Development;Account Manager, Sales Representative, Business Development Manager;Enterprise Solutions, CRM Systems;Business, Marketing, Sales;Relationship Management, Negotiation, Communication, Data Analysis;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Account Information Services;SKI-000011;Technical & Support Skill;IT Services, Data Management, Security;;;Finance, Healthcare, Telecommunications;;Banking, Healthcare, Telecom, Finance;IT Specialist, Account Information Manager, Data Analyst;Data Security, Information Management;Information Technology, Computer Science;Data Management, Security Protocols, Database Design;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
ADC/DAC;SKI-000012;Technical Skill;Electronics, Signal Processing;;;Telecommunications, Consumer Electronics;;Telecommunications, Audio/Video, Consumer Electronics;Electronics Engineer, Signal Processing Engineer;Audio Devices, Communication Systems;Electrical Engineering, Signal Processing;Analog to Digital Conversion, Signal Processing, Circuit Design;1-2 years (intermediate expertise);;
Advanced Packaging;SKI-000013;Technical Skill;Engineering, Manufacturing;;;Manufacturing, Electronics, Consumer Goods;;Electronics, Semiconductor, Consumer Goods;Packaging Engineer, Process Engineer, Materials Scientist;Microelectronics, Consumer Electronics;Mechanical Engineering, Materials Science;3D Modeling, Thermal Management, Structural Integrity;1-2 years (intermediate to advanced expertise);;
AI for Fraud Detection;SKI-000014;Technical Skill;Artificial Intelligence, Data Science;;;Finance, Cybersecurity, E-commerce;;Finance, E-commerce, Banking, Cybersecurity;Data Scientist, AI Engineer, Fraud Analyst;Fraud Detection Systems, Security Software;Computer Science, Data Science, Engineering;Machine Learning, Pattern Recognition, Data Analytics;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Algorithm Development;SKI-000015;Technical Skill;Computer Science, Software Engineering;;;Technology, Finance, AI, Data Science;;Software Development, Machine Learning, Data Science;Software Engineer, Data Scientist, Algorithm Engineer;Software Algorithms, Data Processing, AI Models;Computer Science, Mathematics, Engineering;Problem Solving, Optimization, Data Structures, Programming;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Algorithmic Bias;SKI-000016;Analytical Skill;Data Science, Ethics, AI;;;Technology, Ethics, Data Science;;AI, Machine Learning, Social Sciences;AI Researcher, Data Scientist, Ethicist;AI Models, Machine Learning Systems;Computer Science, Ethics, Social Science;Bias Detection, Fairness in AI, Ethical Decision Making;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Algorithmic Bias Analysis;SKI-000017;Analytical Skill;Data Science, Ethics, AI;;;Technology, Ethics, Data Science;;AI, Machine Learning, Social Sciences;AI Researcher, Data Scientist, Ethicist, Policy Analyst;AI Models, Bias Detection Systems;Computer Science, Ethics, Social Science;Fairness Audits, Algorithmic Evaluation, Bias Metrics;1-2 years (intermediate expertise);;
Algorithmic Complexity;SKI-000018;Analytical & Technical Skill;Computer Science, Mathematics;;;Technology, Research, AI, Academia;;Software Development, Research, AI;Algorithm Engineer, Data Scientist, Software Engineer;Algorithm Optimization, Complexity Analysis;Computer Science, Mathematics;Complexity Theory, Algorithmic Design, Data Structures;1-2 years (intermediate to advanced expertise);;
Algorithmic Problem Solving;SKI-000019;Analytical & Technical Skill;Problem Solving, Computer Science;;;Technology, Finance, Research, AI;;Software Development, Competitive Programming, AI;Software Engineer, Data Scientist, Algorithm Developer;Coding Competitions, AI Models, Optimization;Computer Science, Mathematics, Engineering;Critical Thinking, Logical Reasoning, Programming Skills;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
Algorithmic Trading;SKI-000020;Technical Skill;Finance, Data Science, Software Engineering;;;Finance, Technology, Trading;;Financial Markets, Hedge Funds, Trading Platforms;Quantitative Analyst, Algorithmic Trader, Data Scientist;Trading Algorithms, Financial Models, Market Analytics;Finance, Computer Science, Mathematics;Data Analysis, Statistical Modeling, Market Knowledge;6-12 months (basic proficiency), 1-2 years (advanced expertise);;
