name;serial_number;issuing_organization_name;description;level;category;products;jobs;validity_duration_months;difficulty;website_url;score;metadata
Certified Android Security Engineer (CASE);CER-000001;8kSec;Demonstrates expertise in securing Android applications through vulnerability analysis, reverse engineering, and code review.;;TECHNICAL;Android Security;Mobile Security Engineer, Penetration Tester, AppSec Analyst, Security Researcher, Android Developer;;Advanced;;;
Certified Android Security Researcher (CASR);CER-000002;8kSec;Focuses on in-depth Android internals, malware analysis, and exploit development for mobile platforms.;;TECHNICAL;Android OS / Mobile Security;Security Researcher, Reverse Engineer, Malware Analyst, Mobile Security Expert, Ethical Hacker;;Advanced;;;
Certified iOS Security Engineer (CISE);CER-000003;8kSec;Focuses on iOS app security, reverse engineering, and mobile threat defense.;;TECHNICAL;iOS / Mobile App Security;Mobile Security Engineer, Penetration Tester, Security Researcher, App Developer, Threat Analyst;;Advanced;;;
Certified iOS Security Researcher (CISR);CER-000004;8kSec;Specializes in iOS vulnerability research, exploitation, and patch analysis.;;TECHNICAL;iOS Security;Security Researcher, Exploit Developer, Mobile Analyst, Reverse Engineer, Bug Hunter;;Advanced;;;
Certified Mobile Security Engineer (CMSE);CER-000005;8kSec;Focuses on securing Android and iOS mobile environments and applications.;;TECHNICAL;Android / iOS;Mobile Security Engineer, App Developer, Penetration Tester, Threat Analyst, Security Consultant;;Advanced;;;
Offensive Mobile Security Expert (OMSE);CER-000006;8kSec;Recognizes advanced expertise in mobile app exploitation, reverse engineering, and secure code review.;;TECHNICAL;Android / iOS;Mobile Penetration Tester, Security Researcher, Reverse Engineer, Red Team Specialist, App Security Analyst;;Expert;;;
ACI Dealing Certificate;CER-000007;ACI Financial Markets Association;Provides foundational knowledge of financial market operations, instruments, and trading practices. Emphasizes ethics, risk management, and market structure.;;TECHNICAL;Financial markets trading systems;Dealer, Trader Assistant, Risk Analyst, Treasury Assistant, Banking Analyst;;Beginner;;;
ACI Operations Certificate;CER-000008;ACI Financial Markets Association;Builds understanding of back-office operations in financial markets. Covers trade settlement, reconciliation, and risk control in banking environments.;;TECHNICAL;Financial markets operations systems;Operations Analyst, Settlement Officer, Risk Controller, Treasury Operations Specialist, Banking Officer;;Intermediate;;;
Adobe Advertising Cloud DSP Business Practitioner Professional;CER-000009;Adobe;This certification focuses on the practical use of Adobe Advertising Cloud for demand-side platform (DSP) operations. It covers campaign management, audience targeting, and performance optimization in digital advertising.;;VENDORPRODUCT;Adobe Advertising Cloud, DSP Tools;Digital Advertising Specialist, Campaign Manager, Media Buyer, Digital Marketing Analyst, Programmatic Advertising Expert;;Intermediate;;;
Adobe Advertising Search Business Practitioner Professional;CER-000010;Adobe;This certification emphasizes search advertising strategies and optimization within Adobe Advertising Cloud. It teaches users how to manage search campaigns, analyze performance, and improve ROI.;;VENDORPRODUCT;Adobe Advertising Cloud, SEM Tools;Search Engine Marketing (SEM) Specialist, Paid Search Analyst, Digital Advertising Manager, Campaign Analyst, PPC Specialist;;Intermediate;;;
Adobe Analytics Architect Master;CER-000011;Adobe;The Analytics Architect Master certification is for advanced users of Adobe Analytics. It involves in-depth knowledge of data collection, configuration, and architecture to set up and manage analytics implementations.;;VENDORPRODUCT;Adobe Analytics, Data Integration Tools;Analytics Architect, Data Integration Specialist, Analytics Consultant, Digital Analyst, Marketing Data Manager;;Expert;;;
Adobe Analytics Business Practitioner Expert;CER-000012;Adobe;This expert-level certification focuses on leveraging Adobe Analytics for advanced business insights. It includes data analysis, report customization, and optimizing analytics for decision-making in a business context.;;VENDORPRODUCT;Adobe Analytics, Business Intelligence Tools;Business Analyst, Marketing Analyst, Data Analyst, Digital Marketing Manager, Performance Analyst;;Expert;;;
