name;area;description;serial_number
BA in Computer and Information Sciences;Computer Science;Studies computing systems and information processing. Focuses on software, data, and algorithms. Prepares for tech industry roles.;DEG-000001
BA in Computer Animation;Animation / Digital Media;Focuses on 3D animation and digital storytelling. Develops modeling, rendering, and animation skills. Prepares for media production careers.;DEG-000002
BA in Computer Animation and Visual Effects;Animation / VFX;Combines animation with visual effects production. Focuses on film and digital media pipelines. Prepares for entertainment industry roles.;DEG-000003
BA in Computer Animation Art and Design;Animation / Design;Integrates artistic design with animation techniques. Focuses on character and environment creation. Prepares for creative media roles.;DEG-000004
BA in Computer Animation Arts;Animation;Studies digital animation and storytelling. Focuses on artistic and technical production. Prepares for animation industry careers.;DEG-000005
BA in Computer Animation Game Art;Game Art / Animation;Focuses on animation for video games. Covers character modeling and interactive design. Prepares for game development roles.;DEG-000006
BA in Computer Animation Technical Arts;Technical Animation;Combines animation with technical pipeline skills. Focuses on rigging, tools, and production systems. Prepares for technical roles in VFX and games.;DEG-000007
BA in Computer Arts;Digital Arts;Focuses on digital creative production and media arts. Covers visual storytelling and design tools. Prepares for creative tech industries.;DEG-000008
BA in Computer Arts Design;Digital Design;Combines design principles with digital media tools. Focuses on visual communication and interactive design. Prepares for design careers.;DEG-000009
BA in Computer Character Animation;Animation;Specializes in character movement and performance. Focuses on rigging, motion, and storytelling. Prepares for animation production roles.;DEG-000010
BA in Computer Engineering;Engineering / Computing;Combines hardware and software systems design. Focuses on embedded systems and computing architecture. Prepares for engineering careers.;DEG-000011
BA in Computer Games;Game Studies;Studies game design, production, and theory. Focuses on interactive storytelling and mechanics. Prepares for game industry roles.;DEG-000012
BA in Computer Games Art;Game Art;Focuses on visual design for video games. Covers environments, characters, and assets. Prepares for game art careers.;DEG-000013
BA in Computer Games Design;Game Design;Studies gameplay mechanics and interactive systems. Focuses on design thinking and player experience. Prepares for game development roles.;DEG-000014
BA in Computer Games Modelling and Animation;Game Art / Animation;Focuses on 3D modeling and animation for games. Develops technical and artistic production skills. Prepares for game studios.;DEG-000015
BA in Computer Generated Animation;Animation;Studies CGI production and digital animation workflows. Focuses on rendering and visual storytelling. Prepares for film and media roles.;DEG-000016
BA in Computer Information Systems;Information Systems;Focuses on business computing systems and data management. Studies software applications and IT infrastructure. Prepares for corporate IT roles.;DEG-000017
BA in Computer Information Technology;Information Technology;Studies applied computing and IT systems. Focuses on networking, software, and support systems. Prepares for IT industry roles.;DEG-000018
BA in Computer Science;Computer Science;Studies algorithms, programming, and computing theory. Focuses on software development and systems. Prepares for tech careers.;DEG-000019
BA in Computer Science and Business;Computer Science / Business;Combines computing with business strategy. Focuses on software and enterprise systems. Prepares for tech management roles.;DEG-000020
