name;serial_number;area;description;score;metadata
0-6 Years;MAJ-000001;Early Childhood Education;Focuses on the development, learning, and well-being of children from birth to age six. Covers child psychology, curriculum design, and family engagement. Develops skills in early learning assessment and classroom management. Prepares graduates to support children's cognitive, social, and emotional development.;;
1550-1700;MAJ-000002;History;Examines major political, social, cultural, and economic developments between 1550 and 1700. Covers topics such as state formation, global trade, religious change, and scientific advancement. Develops historical research and critical analysis skills. Prepares graduates to interpret historical events using primary and secondary sources.;;
1650-Present;MAJ-000003;History;Studies historical developments from 1650 to the present across political, social, economic, and cultural contexts. Covers modernization, industrialization, globalization, and contemporary issues. Develops research, analytical, and evidence-based reasoning skills. Prepares graduates to evaluate historical change and its impact on modern society.;;
16th-18th Centuries;MAJ-000004;History;Focuses on the political, cultural, and social history of the 16th through 18th centuries. Covers topics such as the Renaissance, Reformation, colonial expansion, and the Enlightenment. Develops historical interpretation and research skills. Prepares graduates to analyze early modern societies and their lasting influence.;;
1700-1830;MAJ-000005;History;Examines major historical developments from 1700 to 1830. Covers revolutions, political transformation, industrial beginnings, and social change. Develops historical research and critical analysis skills. Prepares graduates to interpret the foundations of the modern world.;;
1830-1914;MAJ-000006;History;Focuses on global and regional history from 1830 to 1914. Covers industrialization, imperialism, nationalism, and economic development. Develops evidence-based research and historical interpretation skills. Prepares graduates to analyze the forces shaping the modern era.;;
18th and 19th Century Literature;MAJ-000007;Literature;Explores literary works from the 18th and 19th centuries. Covers major authors, literary movements, and historical contexts. Develops critical reading, textual analysis, and academic writing skills. Prepares graduates to interpret influential literary traditions and cultural developments.;;
1900-Present;MAJ-000008;History;Examines global history from 1900 to the present. Covers world wars, technological change, decolonization, globalization, and modern societies. Develops historical research and critical thinking skills. Prepares graduates to analyze contemporary issues through historical perspectives.;;
20th and 21st Century Literature;MAJ-000009;Literature;Studies literary works from the 20th and 21st centuries. Covers diverse genres, authors, and contemporary literary movements. Develops analytical, interpretive, and written communication skills. Prepares graduates to evaluate literature within modern cultural and social contexts.;;
2D and Experimental Animation;MAJ-000010;Animation;Focuses on traditional 2D animation alongside experimental and innovative animation techniques. Covers storytelling, motion design, visual experimentation, and digital production. Develops artistic creativity and technical animation skills. Prepares graduates for creative roles in animation, media, and visual arts.;;
2D Animation;MAJ-000011;Animation;Studies the principles and production of two-dimensional animation. Covers character animation, storyboarding, motion, and digital animation software. Develops visual storytelling and technical production skills. Prepares graduates for careers in animation, film, television, and gaming.;;
2D Art;MAJ-000012;Fine Arts;Focuses on creating two-dimensional artwork through traditional and digital media. Covers drawing, painting, composition, and illustration techniques. Develops artistic expression and visual communication skills. Prepares graduates for careers in fine arts, illustration, and creative industries.;;
2D Arts;MAJ-000013;Fine Arts;Explores two-dimensional artistic practices using traditional and contemporary techniques. Covers drawing, painting, printmaking, and design fundamentals. Develops creativity, composition, and technical art skills. Prepares graduates for professional work in visual arts and design.;;
2D Design;MAJ-000014;Graphic Design;Focuses on the principles of two-dimensional visual design. Covers typography, layout, color theory, branding, and digital graphics. Develops creative problem-solving and visual communication skills. Prepares graduates for careers in graphic design, advertising, and digital media.;;
2D Digital Animation;MAJ-000015;Animation;Studies digital techniques for producing two-dimensional animated content. Covers character design, motion graphics, storyboarding, and animation software. Develops technical proficiency and creative storytelling skills. Prepares graduates for careers in animation, entertainment, and multimedia production.;;
2D Materials;MAJ-000016;Materials Science;Focuses on the properties, synthesis, and applications of two-dimensional materials. Covers nanomaterials, electronic properties, characterization methods, and advanced material design. Develops laboratory research and analytical skills. Prepares graduates for careers in materials research, nanotechnology, and advanced manufacturing.;;
2D Motion Fundamentals;MAJ-000017;Animation;Introduces the core principles of two-dimensional motion and animation. Covers timing, movement, character motion, and visual storytelling. Develops foundational animation and creative design skills. Prepares graduates for advanced study and entry-level roles in animation and digital media.;;
2D Video Games;MAJ-000018;Game Development;Focuses on the design and development of two-dimensional video games. Covers game mechanics, level design, programming, pixel art, and user experience. Develops technical and creative game production skills. Prepares graduates for careers in game development and interactive media.;;
2D and 3D;MAJ-000019;Digital Media;Combines two-dimensional and three-dimensional design and production techniques. Covers digital modeling, animation, illustration, rendering, and multimedia workflows. Develops versatile creative and technical skills. Prepares graduates for careers in digital media, animation, and interactive design.;;
Academic and Professional Linguistics;MAJ-000020;Linguistics;Focuses on language use in academic, workplace, and professional contexts. Covers discourse analysis, applied linguistics, communication strategies, and language research. Develops advanced writing, analytical, and cross-cultural communication skills. Prepares graduates for careers in education, research, consulting, and professional communication.;;
Academic Behavioral Strategist;MAJ-000021;Special Education;Prepares professionals to support students with behavioral and learning needs. Students study behavior intervention, assessment, and instructional planning. Develops collaborative problem-solving and classroom support skills. Graduates improve educational outcomes through evidence-based behavioral strategies.;;
Academic Curriculum;MAJ-000022;Education;Focuses on curriculum design, implementation, and evaluation across educational settings. Students study learning theory, instructional planning, and assessment methods. Develops leadership in curriculum development. Graduates enhance educational quality through effective curriculum design.;;
Academic English;MAJ-000023;English Language Education;Develops advanced English skills for academic study, research, and professional communication. Students strengthen writing, reading, speaking, and critical thinking abilities. Emphasizes academic conventions and evidence-based communication. Graduates succeed in higher education and international professional environments.;;
Academic e-sports;MAJ-000024;Esports & Education;Explores competitive gaming through academic, strategic, and organizational perspectives. Students study esports management, teamwork, analytics, and digital communication. Develops leadership and event coordination skills. Graduates contribute to the growing esports and gaming industry.;;
Academic Librarianship;MAJ-000025;Library & Information Science;Focuses on managing academic library resources, research services, and information literacy. Students develop expertise in digital collections, cataloging, and scholarly communication. Strengthens research support and user engagement skills. Graduates enhance knowledge access in higher education institutions.;;
Academic Practice;MAJ-000026;Higher Education;Prepares professionals to teach, assess, and lead within higher education. Students study curriculum design, pedagogy, and educational leadership. Develops evidence-based teaching and academic management skills. Graduates improve learning experiences and institutional effectiveness.;;
Academic Purposes;MAJ-000027;English for Academic Purposes;Develops advanced language skills for academic study and research. Students strengthen academic writing, reading, presentation, and critical thinking abilities. Emphasizes scholarly communication and research conventions. Graduates communicate effectively in academic and professional environments.;;
Academic Research;MAJ-000028;Research Methods;Focuses on designing, conducting, and evaluating scholarly research. Students develop skills in research methodologies, data analysis, and academic writing. Emphasizes ethical and evidence-based inquiry. Graduates contribute high-quality research across academic and professional fields.;;
Academic Studies;MAJ-000029;Interdisciplinary Studies;Provides broad academic knowledge across multiple disciplines. Students strengthen analytical thinking, research, and communication skills. Encourages intellectual curiosity and interdisciplinary learning. Graduates adapt effectively to diverse professional and academic opportunities.;;
Academic Support;MAJ-000030;Education;Focuses on strategies that improve student learning and academic achievement. Students study learner support, educational interventions, and advising practices. Develops communication and problem-solving skills. Graduates provide effective academic assistance in educational settings.;;
Academic Writing;MAJ-000031;Communication & Education;Develops advanced writing skills for scholarly and professional contexts. Students learn research-based writing, citation practices, and critical argumentation. Strengthens clarity, organization, and academic integrity. Graduates produce high-quality academic and professional documents.;;
Academically and Intellectually Gifted;MAJ-000032;Education;Focuses on identifying and supporting academically gifted learners. Students study differentiated instruction, assessment, and talent development. Develops inclusive educational strategies. Graduates design learning environments that maximize student potential.;;
Accessory Design and Leather Art;MAJ-000033;Fashion & Leather Design;Focuses on leather craftsmanship and accessory product development. Students study material techniques, design innovation, and production methods. Develops precision and creative design skills. Graduates create high-quality leather goods and fashion accessories.;;
Advanced Robotics Technology and Drone Technology;MAJ-000034;Robotics & Aerospace Engineering;Combines robotics with unmanned aerial systems and autonomous technologies. Students study drone systems, automation, sensing, and control. Develops technical and engineering skills. Graduates design and operate advanced robotic and drone technologies.;;
Aging and Disability;MAJ-000035;Social Work;Focuses on supporting older adults and individuals with disabilities. Students study care planning, advocacy, and social policy. Develops case management and communication skills. Graduates provide inclusive support services.;;
Aging and Well-Being;MAJ-000036;Health Sciences;Examines physical, mental, and social wellbeing in later life. Students study healthcare systems, psychology, and lifestyle factors. Develops analytical and care skills. Graduates promote healthy aging and wellbeing programs.;;
Agro and Ecosystems;MAJ-000037;Environmental Science;Examines agricultural systems within broader ecological contexts. Students study ecosystems, biodiversity, and sustainability. Develops scientific and systems thinking skills. Graduates support environmental and agricultural planning.;;
Agro- and Ecosystems Engineering;MAJ-000038;Environmental Engineering;Focuses on engineering solutions for agricultural and ecological systems. Students study water management, soil systems, and sustainability. Develops technical and environmental skills. Graduates design sustainable agro-ecosystems.;;
Agro Engineering;MAJ-000039;Agricultural Engineering;Applies engineering principles to agriculture and food production systems. Students study machinery, irrigation, and automation. Develops technical and design skills. Graduates improve agricultural efficiency and infrastructure.;;
Agro Food;MAJ-000040;Food Systems;Focuses on food production systems linking agriculture, processing, and distribution. Students study supply chains, food safety, and sustainability. Develops analytical and systems thinking skills. Graduates improve efficiency in food production networks.;;
Agro Food and Health;MAJ-000041;Food Science & Public Health;Examines the relationship between agricultural food systems and human health outcomes. Students study nutrition, food safety, and sustainability. Develops interdisciplinary analytical skills. Graduates support healthier food systems and policies.;;
Agro Nematology;MAJ-000042;Agricultural Science;Focuses on the study and control of plant-parasitic nematodes in agriculture. Students study soil biology, crop protection, and pest management. Develops laboratory and research skills. Graduates improve crop health and productivity.;;
Agro- and Ecosystems;MAJ-000043;Environmental Agriculture;Examines interactions between agricultural systems and ecological environments. Students study biodiversity, soil systems, and sustainability. Develops systems thinking skills. Graduates support sustainable land management.;;
Allied Health: Dental Hygiene;MAJ-000044;Dental Hygiene;Focuses on preventive oral health care and patient education. Students study dental cleaning, diagnostics, and hygiene procedures. Develops clinical and patient-care skills. Graduates work as dental hygienists.;;
Allied Health Science;MAJ-000045;Health Sciences;Focuses on scientific foundations of healthcare support professions. Students study anatomy, physiology, and clinical practice. Develops analytical and clinical skills. Graduates support healthcare delivery systems.;;
Alternative and Instrumental Choral;MAJ-000046;Music Education;Focuses on non-traditional approaches to choral and instrumental music. Students study performance, arrangement, and pedagogy. Develops musical and teaching skills. Graduates work in music education and performance.;;
American,British and English Linguistics;MAJ-000047;Linguistics;Focuses on comparative study of English language varieties. Students study grammar, phonetics, and sociolinguistics. Develops analytical language skills. Graduates work in education, translation, and research.;;
Army;MAJ-000048;Military Science and Leadership;Focuses on military organization, leadership, and operational strategy. Prepares graduates for defense and security roles. Covers tactics, logistics, and command systems. Emphasizes discipline, strategic planning, and operational readiness in defense environments.;;
Biochemistry,Cellular and Molecular Biology;MAJ-000049;Integrated Molecular Life Sciences;Focuses on molecular and cellular biological systems. Covers genetics, biochemistry, and cell function. Prepares graduates for research roles. Emphasizes experimental biology, molecular mechanisms, and scientific analysis.;;
Construction,Automation and Control;MAJ-000050;Smart construction systems;Applies automation and control systems in construction. Focuses on robotics and smart infrastructure. Uses engineering and IT tools. Prepares for construction automation roles.;;
Criminology,Forensic Biology and Toxicology;MAJ-000051;Forensic science;Combines criminology with biological and chemical analysis of evidence. Focuses on crime scene science. Uses laboratory methods. Prepares for forensic careers.;;
Critical and Emergency Care;MAJ-000052;Healthcare;Provides advanced medical care for critically ill patients. Focuses on emergency response and stabilization. Uses clinical protocols. Prepares for healthcare roles.;;
Generalist (Ages 5-21);MAJ-000053;Education;Prepares educators to teach across a wide age range from childhood to adolescence. Covers developmental psychology, curriculum design, and classroom management. Graduates adapt teaching to diverse learners. Flexibility and communication skills are emphasized.;;
Maori and Indigenous Development;MAJ-000054;Development Studies;Focuses on indigenous social and economic development. Covers policy, culture, and sustainability. Emphasizes community-led growth. Prepares for public policy roles.;;
Maori Cultural Studies;MAJ-000055;Cultural Studies;Studies Māori culture, identity, and society. Covers history, traditions, and modern issues. Emphasizes indigenous perspectives. Prepares for research and cultural roles.;;
Mental Health and Children's Nursing;MAJ-000056;Nursing;Focuses on psychiatric and physical care for children. Covers child development and treatment. Emphasizes pediatric mental healthcare. Prepares for nursing careers.;;
On-line Instructional Design;MAJ-000057;Education Technology;Focuses on designing effective online learning experiences. Covers pedagogy, multimedia, and learning systems. Develops instructional design skills. Graduates work in e-learning development.;;
Prehistoric Archeology;MAJ-000058;Archaeology;Focuses on study of human societies before written history. Covers artifacts, excavation, and ancient cultures. Students analyze early human life. Graduates work in archaeology and research.;;
Acting and Musical Theatre;MAJ-000059;Performing Arts;Focuses on acting, singing, and stage performance for musical theatre productions. Covers performance techniques, vocal training, dance, character development, and stagecraft. Develops artistic expression, collaboration, and live performance skills. Prepares graduates for careers in theatre, film, television, and performing arts.;;
Aerospace and Autonomous Systems;MAJ-000060;Aerospace Engineering;Focuses on the design and operation of aerospace vehicles and autonomous technologies. Covers robotics, artificial intelligence, control systems, aerospace engineering, and embedded systems. Develops advanced engineering, programming, and systems integration skills. Prepares graduates for careers in aerospace, defense, robotics, and autonomous vehicle development.;;
Cognac and Spirits Management;MAJ-000061;Hospitality / Beverage Management;Focuses on the production, marketing, and business management of premium spirits and distilled beverages. Covers distillation, product quality, branding, international trade, and beverage regulations. Develops commercial, technical, and sensory evaluation skills. Prepares graduates for leadership roles in the global spirits and beverage industry.;;
Collaborative Piano and Vocal,Instrumental;MAJ-000062;Music;Focuses on piano accompaniment and musical collaboration with vocalists and instrumentalists. Covers ensemble performance, sight-reading, rehearsal techniques, and interpretation. Develops advanced musicianship, communication, and performance skills. Prepares graduates for careers as collaborative pianists, accompanists, music coaches, and educators.;;
Design and Theatre Technology;MAJ-000063;Theatre / Design;Focuses on the technical and creative aspects of theatrical production. Covers lighting, sound, scenic design, costumes, stage management, and production technology. Develops technical expertise, creativity, and project coordination skills. Prepares graduates for careers in theatre production, live events, and entertainment technology.;;
Drums and Vocals;MAJ-000064;Music;Focuses on developing professional performance skills in drumming and vocal performance. Covers music theory, rhythm, vocal techniques, ensemble performance, and stage presence. Develops musical versatility and artistic expression. Prepares graduates for careers as performers, recording artists, and music educators.;;
Technology Innovation;MAJ-000065;Technology Management;Focuses on developing and commercializing innovative technologies to solve business and societal challenges. Covers innovation management, entrepreneurship, product development, digital transformation, and emerging technologies. Develops strategic thinking, leadership, and problem-solving skills. Prepares graduates for careers in technology management, startups, and innovation leadership.;;
Time-Based Media;MAJ-000066;Digital Media / Fine Arts;Focuses on creating artistic works that evolve over time using video, audio, animation, and interactive media. Covers digital production, storytelling, editing, and multimedia technologies. Develops creative, technical, and conceptual skills. Prepares graduates for careers in digital arts, film, media production, and interactive design.;;
Women and Sexuality Studies;MAJ-000067;Gender Studies;Focuses on the social, cultural, historical, and political dimensions of gender and sexuality. Covers feminist theory, identity, diversity, social justice, and intersectionality. Develops critical thinking, research, and communication skills. Prepares graduates for careers in education, public policy, advocacy, research, and nonprofit organizations.;;
1850 to Present;MAJ-000068;History;Studies historical developments from 1850 to the present. Covers industrialization, world wars, globalization, and contemporary political and social issues. Develops research, analytical, and communication skills. Prepares graduates to evaluate historical events and their modern impact.;;
21st Century;MAJ-000069;Interdisciplinary Studies;Focuses on contemporary global issues, emerging technologies, and societal change in the 21st century. Covers innovation, sustainability, globalization, and digital transformation. Develops critical thinking and interdisciplinary problem-solving skills. Prepares graduates to address complex modern challenges.;;
21st Century Literature;MAJ-000070;Literature;Explores contemporary literature from the 21st century across diverse cultures and genres. Covers modern themes, digital storytelling, and evolving literary forms. Develops critical analysis and effective communication skills. Prepares graduates to interpret current literary and cultural trends.;;
21st Century Teaching and Learning;MAJ-000071;Education;Focuses on modern educational practices and learner-centered teaching strategies. Covers educational technology, curriculum design, assessment, and inclusive instruction. Develops classroom leadership and instructional design skills. Prepares graduates to create engaging learning environments for diverse students.;;
2D;MAJ-000072;Digital Arts;Focuses on creating two-dimensional visual artwork using traditional and digital techniques. Covers drawing, illustration, graphic design principles, and digital imaging. Develops creativity, visual communication, and technical design skills. Prepares graduates for careers in digital media, illustration, and visual design.;;
2-Year;MAJ-000073;General Studies;Provides foundational academic or technical education over a two-year curriculum. Covers discipline-specific knowledge alongside essential communication and problem-solving skills. Develops practical and transferable competencies. Prepares graduates for employment or further academic study.;;
3and3 Pre-Law;MAJ-000074;Pre-Law;Combines undergraduate and law preparation in an accelerated pathway. Covers foundational legal concepts, critical reasoning, research, and communication skills. Develops analytical thinking for legal education. Prepares students for admission to law school through a 3+3 program.;;
3D;MAJ-000075;Digital Arts;Focuses on three-dimensional design, modeling, and visualization. Covers digital sculpting, rendering, animation, and production workflows. Develops creative, technical, and spatial design skills. Prepares graduates for careers in animation, gaming, product visualization, and digital media.;;
3D and Extended Media;MAJ-000076;Digital Media;Explores three-dimensional art and emerging media technologies. Covers 3D modeling, immersive media, interactive installations, and digital fabrication. Develops creative experimentation and technical production skills. Prepares graduates for careers in digital arts, media production, and creative technology.;;
3D Animation;MAJ-000077;Animation;Focuses on creating animated three-dimensional characters, environments, and visual effects. Covers modeling, rigging, lighting, rendering, and motion techniques. Develops artistic and technical production skills. Prepares graduates for careers in film, gaming, advertising, and visual effects.;;
3D Animation and Videogames;MAJ-000078;Game Development;Focuses on creating 3D animations and interactive video game content. Covers character animation, game design, modeling, and real-time rendering. Develops creative and technical production skills. Prepares graduates for careers in game development, animation, and digital entertainment.;;
3D Animation and Visual Effects;MAJ-000079;Animation;Studies the creation of three-dimensional animation and cinematic visual effects. Covers modeling, rigging, simulation, compositing, and rendering. Develops technical expertise and artistic storytelling skills. Prepares graduates for careers in film, television, gaming, and visual effects production.;;
