id,name,serial_number,level,area,duration_years,description,metadata,deleted_at,created_at,updated_at,score
009731bc-6d18-416e-9ec8-ef5f32e82280,BA in Computer Animation,DEG-000002,,Animation / Digital Media,,"Focuses on 3D animation and digital storytelling. Develops modeling, rendering, and animation skills. Prepares for media production careers.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
02416c9b-d2bb-4073-bfd3-ad8656eccbd9,BA in Computer Information Systems,DEG-000017,,Information Systems,,Focuses on business computing systems and data management. Studies software applications and IT infrastructure. Prepares for corporate IT roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
04ea3363-4521-405c-b4a1-04794c6b3319,BA in Computer Arts,DEG-000008,,Digital Arts,,Focuses on digital creative production and media arts. Covers visual storytelling and design tools. Prepares for creative tech industries.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
0ce4595a-5823-42de-8f92-58a7b4c4afff,BA in Computer Arts Design,DEG-000009,,Digital Design,,Combines design principles with digital media tools. Focuses on visual communication and interactive design. Prepares for design careers.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
2c051203-c73a-46e9-bfa6-505b93b5ce2e,BA in Computer Science,DEG-000019,,Computer Science,,"Studies algorithms, programming, and computing theory. Focuses on software development and systems. Prepares for tech careers.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
2dc3f82a-c8a9-431c-8dcb-7c079db57bdd,BA in Computer Games Design,DEG-000014,,Game Design,,Studies gameplay mechanics and interactive systems. Focuses on design thinking and player experience. Prepares for game development roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
3bb5e4ff-48f5-4995-98dc-cb3eaf96d46b,BA in Computer Character Animation,DEG-000010,,Animation,,"Specializes in character movement and performance. Focuses on rigging, motion, and storytelling. Prepares for animation production roles.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
3fbd4d99-a66e-4837-8796-69245dd85d42,BA in Computer Generated Animation,DEG-000016,,Animation,,Studies CGI production and digital animation workflows. Focuses on rendering and visual storytelling. Prepares for film and media roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
422f0deb-ee52-440f-9e53-d76d12d16bda,BA in Computer Animation Arts,DEG-000005,,Animation,,Studies digital animation and storytelling. Focuses on artistic and technical production. Prepares for animation industry careers.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
55c85e61-6850-48c7-827c-3dedded722fc,BA in Computer Animation Art and Design,DEG-000004,,Animation / Design,,Integrates artistic design with animation techniques. Focuses on character and environment creation. Prepares for creative media roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
5eb40d5e-619e-4aaf-b64f-7e00d424ef72,BA in Computer Animation and Visual Effects,DEG-000003,,Animation / VFX,,Combines animation with visual effects production. Focuses on film and digital media pipelines. Prepares for entertainment industry roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
6886966f-c5eb-47eb-9f47-49fbb6480991,BA in Computer Science and Business,DEG-000020,,Computer Science / Business,,Combines computing with business strategy. Focuses on software and enterprise systems. Prepares for tech management roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
7354cf65-c364-4aa7-9655-42ead724c653,BA in Computer Information Technology,DEG-000018,,Information Technology,,"Studies applied computing and IT systems. Focuses on networking, software, and support systems. Prepares for IT industry roles.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
78b6eac9-391b-4cb5-a05f-c83a9d70410c,BA in Computer Animation Game Art,DEG-000006,,Game Art / Animation,,Focuses on animation for video games. Covers character modeling and interactive design. Prepares for game development roles.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
a71415a2-d5b9-499b-9602-79a2de2c1bd7,BA in Computer Games Art,DEG-000013,,Game Art,,"Focuses on visual design for video games. Covers environments, characters, and assets. Prepares for game art careers.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
aa89a994-7dbe-4b43-b386-56a50a1b9d41,BA in Computer Games,DEG-000012,,Game Studies,,"Studies game design, production, and theory. Focuses on interactive storytelling and mechanics. Prepares for game industry roles.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
b0e3c7bf-4960-4a7e-91d7-f0e7784afbc1,BA in Computer and Information Sciences,DEG-000001,,Computer Science,,"Studies computing systems and information processing. Focuses on software, data, and algorithms. Prepares for tech industry roles.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
b23b5110-549d-4e54-9f8d-5ba8fac59ac4,BA in Computer Games Modelling and Animation,DEG-000015,,Game Art / Animation,,Focuses on 3D modeling and animation for games. Develops technical and artistic production skills. Prepares for game studios.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
c64d1db5-e0d7-4abf-9604-94a1783f25cd,BA in Computer Animation Technical Arts,DEG-000007,,Technical Animation,,"Combines animation with technical pipeline skills. Focuses on rigging, tools, and production systems. Prepares for technical roles in VFX and games.",,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
cf6e0573-2bf8-4bed-984d-56f0fd11cbc7,BA in Computer Engineering,DEG-000011,,Engineering / Computing,,Combines hardware and software systems design. Focuses on embedded systems and computing architecture. Prepares for engineering careers.,,,2026-07-02 02:28:18.806,2026-07-02 02:28:18.806,
