name;type;company;product_type;description;industries;competitors;fun_fact;serial_number
MS Dynamics;B2B;Microsoft;ERP & CRM Solution;Suite of business apps for managing finance, sales, customer service, and operations.;Finance, Retail, Healthcare, Gov’t, Manufacturing;SAP, Oracle NetSuite, Salesforce, Infor;First ERP/CRM suite with a unified business and customer platform.;PRO-0000001
Salesforce;B2B;Salesforce;CRM Platform;Cloud-based CRM platform for managing sales, service, marketing, and commerce.;Retail, Finance, Manufacturing, Healthcare, Nonprofit;MS Dynamics, Oracle, SAP, HubSpot;Salesforce has a mascot bear named Astro.;PRO-0000002
Slack;B2B;Salesforce;Collaboration Tool;Business messaging and collaboration tool for real-time communication and workflow automation.;Tech, Media, Education, Consulting, Startups;Microsoft Teams, Google Chat, Zoom, Webex;Slack was originally an internal tool for a failed video game.;PRO-0000003
Adobe Photoshop;B2C;Adobe;Image Editing Software;Industry-standard software for editing and creating graphics, photos, and artwork.;Media, Photography, Marketing, Design;Corel PaintShop, GIMP, Affinity Photo, Pixelmator;The name Photoshop is now used as a verb.;PRO-0000004
SAP S/4HANA;B2B;SAP;ERP Suite;Next-generation ERP suite that integrates business processes using real-time analytics.;Manufacturing, Energy, Retail, Logistics, Pharma;Oracle NetSuite, MS Dynamics, Infor, Epicor;SAP stands for Systems, Applications and Products.;PRO-0000005
QuickBooks;B2B;Intuit;Accounting Software;Widely used accounting and bookkeeping software for small and medium businesses.;Retail, Services, Startups, Consulting;Xero, Sage, FreshBooks, Zoho Books;QuickBooks was first released in 1992.;PRO-0000006
Figma;B2B;Figma Inc.;Design & Prototyping Tool;Cloud-based design tool for UI/UX, prototyping, and collaboration in real time.;Tech, Marketing, Startups, Design, Education;Adobe XD, Sketch, InVision, Axure;Figma runs entirely in your web browser.;PRO-0000007
Oracle NetSuite;B2B;Oracle;Cloud ERP Suite;Comprehensive cloud ERP platform for financials, CRM, ecommerce, and supply chain.;Retail, Wholesale, Software, Manufacturing, Services;SAP, MS Dynamics, Infor, Sage;NetSuite was acquired by Oracle in 2016 for $9.3 billion.;PRO-0000008
AutoCAD;B2B;Autodesk;CAD Software;Computer-aided design software for drafting and modeling in architecture, engineering, and construction.;Architecture, Engineering, Construction, Manufacturing;SolidWorks, MicroStation, SketchUp, Rhino;AutoCAD was launched in 1982 and is still industry standard.;PRO-0000009
Zoom;B2B;Zoom Video Communications;Video Conferencing;Cloud platform for video meetings, webinars, chat, and virtual collaboration.;Education, Healthcare, Business, Government;Microsoft Teams, Webex, Google Meet, GoToMeeting;Zoom's user base soared during the COVID-19 pandemic.;PRO-0000010
