name;description;products;tools_and_tech;serial_number
Software Engineer;A software engineer designs, develops, tests, and maintains computer programs and systems to solve problems and improve processes through coding and technical expertise.;System Software, Application Software, Development Software, Database Software, Embedded Software, Networking Software, Security Software, etc.;Git, Python, AWS, Docker, etc.;JOB-000001
Data Scientist;A data scientist analyzes and interprets complex data to help companies make decisions, using statistical, machine learning, and data visualization methods.;Predictive Models, Data Dashboards, Analytical Reports, Machine Learning Pipelines, AI Solutions;Python, R, Jupyter, TensorFlow, SQL, Tableau, Power BI;JOB-000002
Mechanical Engineer;A mechanical engineer designs, builds, and tests mechanical devices, from engines to HVAC systems, ensuring functionality and efficiency.;Automotive Parts, HVAC Systems, Industrial Equipment, Robotics, Consumer Devices;SolidWorks, AutoCAD, MATLAB, 3D Printers, CNC Machines;JOB-000003
Nurse;A nurse provides patient care, administers medication, supports doctors, and monitors patient progress in clinical and hospital settings.;Medical Records, Patient Care Plans, Medication Charts, IV Bags, Monitoring Equipment;Stethoscope, Blood Pressure Monitor, EMR Software, Syringes;JOB-000004
Accountant;An accountant manages financial records, prepares tax returns, and ensures compliance with regulations for individuals or organizations.;Financial Statements, Tax Returns, Payroll Records, Budgets, Invoices;Excel, QuickBooks, SAP, Xero, Tax Software;JOB-000005
Graphic Designer;A graphic designer creates visual concepts for branding, advertising, and digital content using typography, imagery, and layout techniques.;Logos, Brochures, Web Banners, Product Packaging, Social Media Graphics;Adobe Photoshop, Illustrator, InDesign, Canva, Figma;JOB-000006
Teacher;A teacher educates students, develops lesson plans, assesses learning progress, and fosters intellectual and social growth.;Lesson Plans, Educational Materials, Student Assessments, Report Cards;Google Classroom, Microsoft Teams, Zoom, Interactive Whiteboards;JOB-000007
Civil Engineer;A civil engineer designs, supervises, and manages construction projects such as roads, bridges, and buildings, ensuring safety and compliance.;Roadways, Bridges, Buildings, Water Supply Systems, Urban Infrastructure;AutoCAD, Revit, Survey Equipment, GIS Software, Project Management Tools;JOB-000008
Chef;A chef creates recipes, prepares meals, manages kitchen staff, and ensures food quality and safety in restaurants or catering.;Menus, Signature Dishes, Meal Plans, Catering Services, Specialty Foods;Knives, Ovens, Sous Vide, Food Processors, POS Systems;JOB-000009
Marketing Manager;A marketing manager develops strategies to promote products/services, oversees campaigns, analyzes market trends, and manages budgets.;Marketing Campaigns, Brand Guidelines, Market Research Reports, Social Media Content;Google Analytics, HubSpot, SEMrush, CRM Software, Canva;JOB-000010
Lawyer;A lawyer advises and represents clients in legal matters, drafts documents, conducts research, and argues cases in court or negotiations.;Contracts, Legal Briefs, Case Files, Wills, Court Filings;Westlaw, LexisNexis, MS Word, Case Management Software, E-Discovery Tools;JOB-000011
